new_id.x;arrival_time;departure_time;stop_sequence;trip_headsign;monday;tuesday;wednesday;thursday;friday;saturday;sunday;capacite_max;type;stop_name
1;2101;2101;0;8827;0;1;1;0;0;0;0;1400;INOUI;PARIS-MONTPARNASSE 1-2
1;2223;2223;1;8827;0;1;1;0;0;0;0;1400;INOUI;ANGERS-ST-LAUD
2;2101;2101;0;8827;1;0;0;1;0;0;0;1400;TGV;PARIS-MONTPARNASSE 1-2
2;2223;2223;1;8827;1;0;0;1;0;0;0;1400;TGV;ANGERS-ST-LAUD
3;2043;2043;0;8937;0;0;0;0;1;0;0;1400;INOUI;PARIS-MONTPARNASSE 1-2
3;2205;2208;1;8937;0;0;0;0;1;0;0;1400;INOUI;ANGERS-ST-LAUD
3;2245;2249;2;8937;0;0;0;0;1;0;0;1400;INOUI;NANTES
3;2324;2327;3;8937;0;0;0;0;1;0;0;1400;INOUI;ST-NAZAIRE
3;2341;2345;4;8937;0;0;0;0;1;0;0;1400;INOUI;LA BAULE-ESCOUBLAC
3;2354;2354;5;8937;0;0;0;0;1;0;0;1400;INOUI;LE CROISIC
4;1244;1244;0;8921;0;0;0;0;1;0;0;1400;INOUI;PARIS-MONTPARNASSE 1-2
4;1406;1413;1;8921;0;0;0;0;1;0;0;1400;INOUI;ANGERS-ST-LAUD
4;1450;1454;2;8921;0;0;0;0;1;0;0;1400;INOUI;NANTES
4;1529;1532;3;8921;0;0;0;0;1;0;0;1400;INOUI;ST-NAZAIRE
4;1546;1550;4;8921;0;0;0;0;1;0;0;1400;INOUI;LA BAULE-ESCOUBLAC
4;1559;1559;5;8921;0;0;0;0;1;0;0;1400;INOUI;LE CROISIC
5;1038;1038;0;8917;0;0;0;0;0;1;0;1400;INOUI;PARIS-MONTPARNASSE 1-2
5;1134;1137;1;8917;0;0;0;0;0;1;0;1400;INOUI;LE MANS
5;1214;1217;2;8917;0;0;0;0;0;1;0;1400;INOUI;ANGERS-ST-LAUD
5;1254;1258;3;8917;0;0;0;0;0;1;0;1400;INOUI;NANTES
5;1333;1336;4;8917;0;0;0;0;0;1;0;1400;INOUI;ST-NAZAIRE
5;1346;1348;5;8917;0;0;0;0;0;1;0;1400;INOUI;PORNICHET
5;1353;1400;6;8917;0;0;0;0;0;1;0;1400;INOUI;LA BAULE-ESCOUBLAC
5;1403;1406;7;8917;0;0;0;0;0;1;0;1400;INOUI;LE POULIGUEN
5;1412;1412;8;8917;0;0;0;0;0;1;0;1400;INOUI;LE CROISIC
6;1844;1844;0;8931;1;1;1;1;0;0;0;1400;INOUI;PARIS-MONTPARNASSE 1-2
6;1948;1950;1;8931;1;1;1;1;0;0;0;1400;INOUI;SABLE-SUR-SARTHE
6;2010;2013;2;8931;1;1;1;1;0;0;0;1400;INOUI;ANGERS-ST-LAUD
6;2050;2054;3;8931;1;1;1;1;0;0;0;1400;INOUI;NANTES
6;2129;2132;4;8931;1;1;1;1;0;0;0;1400;INOUI;ST-NAZAIRE
6;2146;2150;5;8931;1;1;1;1;0;0;0;1400;INOUI;LA BAULE-ESCOUBLAC
6;2159;2159;6;8931;1;1;1;1;0;0;0;1400;INOUI;LE CROISIC
7;1946;1946;0;8935;0;0;0;0;1;0;0;1400;INOUI;PARIS-MONTPARNASSE 1-2
7;2042;2045;1;8935;0;0;0;0;1;0;0;1400;INOUI;LE MANS
7;2146;2148;2;8935;0;0;0;0;1;0;0;1400;INOUI;ANCENIS
7;2206;2210;3;8935;0;0;0;0;1;0;0;1400;INOUI;NANTES
7;2246;2249;4;8935;0;0;0;0;1;0;0;1400;INOUI;ST-NAZAIRE
7;2259;2302;5;8935;0;0;0;0;1;0;0;1400;INOUI;PORNICHET
7;2306;2310;6;8935;0;0;0;0;1;0;0;1400;INOUI;LA BAULE-ESCOUBLAC
7;2313;2315;7;8935;0;0;0;0;1;0;0;1400;INOUI;LE POULIGUEN
7;2322;2322;8;8935;0;0;0;0;1;0;0;1400;INOUI;LE CROISIC
8;0938;0938;0;8913;1;1;1;1;0;0;0;1400;INOUI;PARIS-MONTPARNASSE 1-2
8;1034;1037;1;8913;1;1;1;1;0;0;0;1400;INOUI;LE MANS
8;1114;1117;2;8913;1;1;1;1;0;0;0;1400;INOUI;ANGERS-ST-LAUD
8;1154;1158;3;8913;1;1;1;1;0;0;0;1400;INOUI;NANTES
8;1233;1236;4;8913;1;1;1;1;0;0;0;1400;INOUI;ST-NAZAIRE
8;1249;1253;5;8913;1;1;1;1;0;0;0;1400;INOUI;LA BAULE-ESCOUBLAC
8;1303;1303;6;8913;1;1;1;1;0;0;0;1400;INOUI;LE CROISIC
9;1244;1244;0;8921;1;1;1;1;0;1;1;1400;TGV;PARIS-MONTPARNASSE 1-2
9;1406;1413;1;8921;1;1;1;1;0;1;1;1400;TGV;ANGERS-ST-LAUD
9;1450;1454;2;8921;1;1;1;1;0;1;1;1400;TGV;NANTES
9;1529;1532;3;8921;1;1;1;1;0;1;1;1400;TGV;ST-NAZAIRE
9;1546;1550;4;8921;1;1;1;1;0;1;1;1400;TGV;LA BAULE-ESCOUBLAC
9;1559;1559;5;8921;1;1;1;1;0;1;1;1400;TGV;LE CROISIC
10;1843;1843;0;8931;0;0;0;0;1;0;0;1400;TGV;PARIS-MONTPARNASSE 1-2
10;1948;1950;1;8931;0;0;0;0;1;0;0;1400;TGV;SABLE-SUR-SARTHE
10;2010;2013;2;8931;0;0;0;0;1;0;0;1400;TGV;ANGERS-ST-LAUD
10;2050;2054;3;8931;0;0;0;0;1;0;0;1400;TGV;NANTES
10;2129;2132;4;8931;0;0;0;0;1;0;0;1400;TGV;ST-NAZAIRE
10;2146;2150;5;8931;0;0;0;0;1;0;0;1400;TGV;LA BAULE-ESCOUBLAC
10;2159;2159;6;8931;0;0;0;0;1;0;0;1400;TGV;LE CROISIC
11;1842;1842;0;8931;0;0;0;0;1;0;0;1400;TGV;PARIS-MONTPARNASSE 1-2
11;1948;1950;1;8931;0;0;0;0;1;0;0;1400;TGV;SABLE-SUR-SARTHE
11;2010;2013;2;8931;0;0;0;0;1;0;0;1400;TGV;ANGERS-ST-LAUD
11;2050;2054;3;8931;0;0;0;0;1;0;0;1400;TGV;NANTES
11;2129;2132;4;8931;0;0;0;0;1;0;0;1400;TGV;ST-NAZAIRE
11;2146;2150;5;8931;0;0;0;0;1;0;0;1400;TGV;LA BAULE-ESCOUBLAC
11;2159;2159;6;8931;0;0;0;0;1;0;0;1400;TGV;LE CROISIC
12;1844;1844;0;8931;0;0;0;0;0;1;0;1400;TGV;PARIS-MONTPARNASSE 1-2
12;1948;1950;1;8931;0;0;0;0;0;1;0;1400;TGV;SABLE-SUR-SARTHE
12;2010;2013;2;8931;0;0;0;0;0;1;0;1400;TGV;ANGERS-ST-LAUD
12;2050;2054;3;8931;0;0;0;0;0;1;0;1400;TGV;NANTES
12;2129;2132;4;8931;0;0;0;0;0;1;0;1400;TGV;ST-NAZAIRE
12;2146;2150;5;8931;0;0;0;0;0;1;0;1400;TGV;LA BAULE-ESCOUBLAC
12;2159;2159;6;8931;0;0;0;0;0;1;0;1400;TGV;LE CROISIC
13;1748;1748;0;8927;0;0;0;0;1;0;0;1400;TGV;PARIS-MONTPARNASSE 1-2
13;1910;1913;1;8927;0;0;0;0;1;0;0;1400;TGV;ANGERS-ST-LAUD
13;1950;1954;2;8927;0;0;0;0;1;0;0;1400;TGV;NANTES
13;2029;2032;3;8927;0;0;0;0;1;0;0;1400;TGV;ST-NAZAIRE
13;2043;2045;4;8927;0;0;0;0;1;0;0;1400;TGV;PORNICHET
13;2049;2053;5;8927;0;0;0;0;1;0;0;1400;TGV;LA BAULE-ESCOUBLAC
13;2057;2059;6;8927;0;0;0;0;1;0;0;1400;TGV;LE POULIGUEN
13;2106;2106;7;8927;0;0;0;0;1;0;0;1400;TGV;LE CROISIC
14;0938;0938;0;8913;0;0;0;0;1;1;1;1400;TGV;PARIS-MONTPARNASSE 1-2
14;1034;1037;1;8913;0;0;0;0;1;1;1;1400;TGV;LE MANS
14;1114;1117;2;8913;0;0;0;0;1;1;1;1400;TGV;ANGERS-ST-LAUD
14;1154;1158;3;8913;0;0;0;0;1;1;1;1400;TGV;NANTES
14;1233;1236;4;8913;0;0;0;0;1;1;1;1400;TGV;ST-NAZAIRE
14;1249;1253;5;8913;0;0;0;0;1;1;1;1400;TGV;LA BAULE-ESCOUBLAC
14;1303;1303;6;8913;0;0;0;0;1;1;1;1400;TGV;LE CROISIC
15;1844;1844;0;8931;0;0;0;0;0;0;1;1400;TGV;PARIS-MONTPARNASSE 1-2
15;1948;1950;1;8931;0;0;0;0;0;0;1;1400;TGV;SABLE-SUR-SARTHE
15;2010;2013;2;8931;0;0;0;0;0;0;1;1400;TGV;ANGERS-ST-LAUD
15;2049;2054;3;8931;0;0;0;0;0;0;1;1400;TGV;NANTES
15;2129;2132;4;8931;0;0;0;0;0;0;1;1400;TGV;ST-NAZAIRE
15;2146;2150;5;8931;0;0;0;0;0;0;1;1400;TGV;LA BAULE-ESCOUBLAC
15;2159;2159;6;8931;0;0;0;0;0;0;1;1400;TGV;LE CROISIC
16;1638;1638;0;8893;0;0;0;0;1;0;0;1400;INOUI;PARIS-MONTPARNASSE 1-2
16;1734;1734;1;8893;0;0;0;0;1;0;0;1400;INOUI;LE MANS
17;1738;1738;0;8895;0;1;1;1;1;0;0;1400;INOUI;PARIS-MONTPARNASSE 1-2
17;1834;1834;1;8895;0;1;1;1;1;0;0;1400;INOUI;LE MANS
18;1838;1838;0;8897;0;0;0;0;0;0;1;1400;INOUI;PARIS-MONTPARNASSE 1-2
18;1934;1934;1;8897;0;0;0;0;0;0;1;1400;INOUI;LE MANS
19;1838;1838;0;8897;1;1;1;1;0;0;0;1400;TGV;PARIS-MONTPARNASSE 1-2
19;1934;1934;1;8897;1;1;1;1;0;0;0;1400;TGV;LE MANS
20;1638;1638;0;8893;1;1;1;1;0;0;0;1400;TGV;PARIS-MONTPARNASSE 1-2
20;1734;1734;1;8893;1;1;1;1;0;0;0;1400;TGV;LE MANS
21;1738;1738;0;8895;1;0;0;0;0;0;0;1400;TGV;PARIS-MONTPARNASSE 1-2
21;1834;1834;1;8895;1;0;0;0;0;0;0;1400;TGV;LE MANS
