LILLE FLANDRES;AGDE;30;150;188
ARRAS;SETE;30;150;188
PERPIGNAN;TGV HAUTE PICARDIE;30;150;188
DOLE VILLE;PARIS MONTPARNASSE 1 ET 2;20;76;106
COLMAR;MACON VILLE;20;72;90
COLMAR;VALENCE TGV;20;98;128
BELFORT-MONTBELIARD TGV;CHALON SUR SAONE;15;51;66
DIJON VILLE;ANTIBES;25;124;161
DIJON VILLE;VALENCE TGV;20;63;81
BESANCON VIOTTE;BELFORT-MONTBELIARD TGV;0;25.5;34
NANCY VILLE;MONTPELLIER;25;117;151
TOUL;ANTIBES;25;135;175
METZ VILLE;NICE VILLE;25;143;183
LAVAL;ANNEMASSE;25;120;162
CASTELNAUDARY;AEROPORT CDG 2 TGV ROISSY;25;116;162
MARNE LA VALLEE CHESSY;PERPIGNAN;25;124;175
CANNES;AEROPORT CDG 2 TGV ROISSY;25;132;185
AEROPORT CDG 2 TGV ROISSY;ANTIBES;25;132;185
MASSY TGV;ST AVRE LA CHAMBRE;25;109;144
PARIS GARE DE LYON;THONON LES BAINS;25;108;152
PARIS GARE DE LYON;BELFORT-MONTBELIARD TGV;20;97;126
PARIS GARE DE LYON;VALENCE;25;103;143
MARNE LA VALLEE CHESSY;VALENCE;25;103;143
VERSAILLES CHANTIERS;VALENCE;25;103;143
LYON ST EXUPERY;NANTES;25;108;143
LYON PART DIEU;CHATELLERAULT;25;96;135
AVIGNON;LES ARCS DRAGUIGNAN;0;50;73
MEUSE;EPINAL;0;37;54
CHAMBERY CHALLES LES EAUX;VENDOME VILLIERS SUR LOIR;0;114;151
VENDOME VILLIERS SUR LOIR;MARNE LA VALLEE CHESSY;15;65;89
LILLE EUROPE;ECOLE VALENTIN;0;120;155
AVIGNON;MENTON;0;62;88
LAVAL;ST JEAN DE MAURIENNE ARVAN;25;127;166
BESANCON VIOTTE;BOURG ST MAURICE;0;78;97
AIME LA PLAGNE;ECOLE VALENTIN;0;78;97
VALENCE;MONTAUBAN VILLE BOURBON;15;83;110
ST JEAN DE MAURIENNE ARVAN;ST MICHEL VALLOIRE;0;4.1;7.4
PORNICHET;ST NAZAIRE;0;4.7;8.3
CLUSES  74;SALLANCHES COMBLOUX MEGEVE;0;5.3;8.4
MONTPELLIER;SETE;0;8.4;13.2
ANNEMASSE;THONON LES BAINS;0;8.9;13.7
ARLES;MIRAMAS;0;9.6;14.3
LILLE EUROPE;LENS;0;10.6;15.5
ANNECY;AIX LES BAINS LE REVARD;0;10.6;15.5
LA ROCHE SUR FORON;SALLANCHES COMBLOUX MEGEVE;0;10.8;16
MOUTIERS SALINS BRIDES;ALBERTVILLE;0;11;16
VALENCE;MONTELIMAR;0;11.3;17
CAEN;LISON;0;13.5;19.5
ST ETIENNE CHATEAUCREUX;LYON PERRACHE;0;13.7;20
PAU;TARBES;0;13.7;20.5
MOUCHARD;PONTARLIER;0;14.2;20.5
BELLEGARDE;THONON LES BAINS;0;15;22
REDON;AURAY;0;16.5;23.5
AVIGNON;LE TEIL;0;17.5;24
AVIGNON;SETE;0;18;23.5
CHAMBERY CHALLES LES EAUX;MOUTIERS SALINS BRIDES;0;22;32
QUIMPERLE;REDON;0;26;38
BAYEUX;BERNAY;0;26;39
MASSY TGV;ROUEN RIVE DROITE;0;27.5;41
MARSEILLE BLANCARDE;ORANGE;0;29;43
LE TEIL;MIRAMAS;0;30;43
BELFORT;MOUCHARD;0;30;44
CHAMBERY CHALLES LES EAUX;MACON LOCHE TGV;0;30;44
ST MAIXENT DEUX SEVRES;ST PIERRE DES CORPS;0;30;44
BIARRITZ;FACTURE BIGANOS;0;32;46
BORDEAUX ST JEAN;RUFFEC CHARENTE;0;34;48
MACON LOCHE TGV;ANNEMASSE;0;35;50
BOURG EN BRESSE;EVIAN LES BAINS;0;35;50
VILLENEUVE LES AVIGNONS;NARBONNE;0;36;51
DIJON VILLE;BELFORT;0;37;53
LA BAULE ESCOUBLAC;SABLE;0;38;54
ANGERS ST LAUD;AURAY;0;41;60
ANGOULEME;BIARRITZ;0;53;79
ANGOULEME;ST JEAN DE LUZ CIBOURE;0;54;80
NANCY VILLE;MACON VILLE;0;54;87
MORCENX;POITIERS;0;60;86
BREST;NANTES;0;60;86
PAU;POITIERS;0;69;100
MOUCHARD;MARSEILLE ST CHARLES;0;70;114
FUTUROSCOPE;TOULOUSE MATABIAU;25;73;105
ORTHEZ;ST PIERRE DES CORPS;25;78;113
CANNES;VENTIMIGLIA STAZIONE;0;13.6;20
AVIGNON TGV;ARLES;0;9.8;14.3
VALENCE;VALENCE TGV;0;3.7;7.2
VILLENEUVE LES AVIGNONS;VALENCE;0;24.5;37
MONTPELLIER;MONTELIMAR;0;31;47
