dep;arr;Prix.d.appel.2nde;Plein.Tarif.Loisir.2nde;X1ère.classe
LILLEFLANDRES;AGDE;30;150;188
ARRAS;SETE;30;150;188
PERPIGNAN;TGVHAUTEPICARDIE;30;150;188
DOLEVILLE;PARISMONTPARNASSEET;20;76;106
COLMAR;MACONVILLE;20;72;90
COLMAR;VALENCETGV;20;98;128
BELFORTMONTBELIARDTGV;CHALONSURSAONE;15;51;66
DIJONVILLE;ANTIBES;25;124;161
DIJONVILLE;VALENCETGV;20;63;81
BESANCONVIOTTE;BELFORTMONTBELIARDTGV;0;25.5;34
NANCYVILLE;MONTPELLIER;25;117;151
TOUL;ANTIBES;25;135;175
METZVILLE;NICEVILLE;25;143;183
LAVAL;ANNEMASSE;25;120;162
CASTELNAUDARY;AEROPORTCDGTGVROISSY;25;116;162
MARNELAVALLEECHESSY;PERPIGNAN;25;124;175
CANNES;AEROPORTCDGTGVROISSY;25;132;185
AEROPORTCDGTGVROISSY;ANTIBES;25;132;185
MASSYTGV;STAVRELACHAMBRE;25;109;144
PARISGAREDELYON;THONONLESBAINS;25;108;152
PARISGAREDELYON;BELFORTMONTBELIARDTGV;20;97;126
PARISGAREDELYON;VALENCE;25;103;143
MARNELAVALLEECHESSY;VALENCE;25;103;143
VERSAILLESCHANTIERS;VALENCE;25;103;143
LYONSTEXUPERY;NANTES;25;108;143
LYONPARTDIEU;CHATELLERAULT;25;96;135
AVIGNON;LESARCSDRAGUIGNAN;0;50;73
MEUSE;EPINAL;0;37;54
CHAMBERYCHALLESLESEAUX;VENDOMEVILLIERSSURLOIR;0;114;151
VENDOMEVILLIERSSURLOIR;MARNELAVALLEECHESSY;15;65;89
LILLEEUROPE;ECOLEVALENTIN;0;120;155
AVIGNON;MENTON;0;62;88
LAVAL;STJEANDEMAURIENNEARVAN;25;127;166
BESANCONVIOTTE;BOURGSTMAURICE;0;78;97
AIMELAPLAGNE;ECOLEVALENTIN;0;78;97
VALENCE;MONTAUBANVILLEBOURBON;15;83;110
STJEANDEMAURIENNEARVAN;STMICHELVALLOIRE;0;4.1;7.4
PORNICHET;STNAZAIRE;0;4.7;8.3
CLUSES;SALLANCHESCOMBLOUXMEGEVE;0;5.3;8.4
MONTPELLIER;SETE;0;8.4;13.2
ANNEMASSE;THONONLESBAINS;0;8.9;13.7
ARLES;MIRAMAS;0;9.6;14.3
LILLEEUROPE;LENS;0;10.6;15.5
ANNECY;AIXLESBAINSLEREVARD;0;10.6;15.5
LAROCHESURFORON;SALLANCHESCOMBLOUXMEGEVE;0;10.8;16
MOUTIERSSALINSBRIDES;ALBERTVILLE;0;11;16
VALENCE;MONTELIMAR;0;11.3;17
CAEN;LISON;0;13.5;19.5
STETIENNECHATEAUCREUX;LYONPERRACHE;0;13.7;20
PAU;TARBES;0;13.7;20.5
MOUCHARD;PONTARLIER;0;14.2;20.5
BELLEGARDE;THONONLESBAINS;0;15;22
REDON;AURAY;0;16.5;23.5
AVIGNON;LETEIL;0;17.5;24
AVIGNON;SETE;0;18;23.5
CHAMBERYCHALLESLESEAUX;MOUTIERSSALINSBRIDES;0;22;32
QUIMPERLE;REDON;0;26;38
BAYEUX;BERNAY;0;26;39
MASSYTGV;ROUENRIVEDROITE;0;27.5;41
MARSEILLEBLANCARDE;ORANGE;0;29;43
LETEIL;MIRAMAS;0;30;43
BELFORT;MOUCHARD;0;30;44
CHAMBERYCHALLESLESEAUX;MACONLOCHETGV;0;30;44
STMAIXENTDEUXSEVRES;STPIERREDESCORPS;0;30;44
BIARRITZ;FACTUREBIGANOS;0;32;46
BORDEAUXSTJEAN;RUFFECCHARENTE;0;34;48
MACONLOCHETGV;ANNEMASSE;0;35;50
BOURGENBRESSE;EVIANLESBAINS;0;35;50
VILLENEUVELESAVIGNONS;NARBONNE;0;36;51
DIJONVILLE;BELFORT;0;37;53
LABAULEESCOUBLAC;SABLE;0;38;54
ANGERSSTLAUD;AURAY;0;41;60
ANGOULEME;BIARRITZ;0;53;79
ANGOULEME;STJEANDELUZCIBOURE;0;54;80
NANCYVILLE;MACONVILLE;0;54;87
MORCENX;POITIERS;0;60;86
BREST;NANTES;0;60;86
PAU;POITIERS;0;69;100
MOUCHARD;MARSEILLESTCHARLES;0;70;114
FUTUROSCOPE;TOULOUSEMATABIAU;25;73;105
ORTHEZ;STPIERREDESCORPS;25;78;113
CANNES;VENTIMIGLIASTAZIONE;0;13.6;20
AVIGNONTGV;ARLES;0;9.8;14.3
VALENCE;VALENCETGV;0;3.7;7.2
VILLENEUVELESAVIGNONS;VALENCE;0;24.5;37
MONTPELLIER;MONTELIMAR;0;31;47
CULOZ;MARSEILLESTCHARLES;0;65;109
