Origine;Destination ;"100% ECO NE/NR
Prix d'appel 2nde";Plein Tarif 2nde;Plein Tarif 1ère
PARIS AUSTERLITZ;BLOIS;15.0;29.4;44.0
PARIS AUSTERLITZ;ST NAZAIRE;15.0;57.0;86.0
CHATEAUROUX;CAHORS;15.0;50.0;79.0
PARIS AUSTERLITZ;MONTAUBAN VILLE BOURBON;15.0;76.0;115.0
CHATEAUROUX;TOULOUSE MATABIAU;15.0;63.0;97.0
PARIS AUSTERLITZ;AMBOISE;15.0;33.2;49.8
LES AUBRAIS;GOURDON;15.0;43.0;65.0
PARIS AUSTERLITZ;POITIERS;15.0;47.9;71.8
CHATEAUROUX;SOUILLAC;15.0;25.0;38.0
LE CROISIC;ST PIERRE DES CORPS;15.0;43.0;65.0
LE CROISIC;AMBOISE;15.0;45.0;68.0
BRIVE LA GAILLARDE;LES AUBRAIS ORLEANS;15.0;50.0;79.0
SAUMUR;LES AUBRAIS ORLEANS;15.0;29.6;44.4
ANGOULEME;PARIS AUSTERLITZ;15.0;59.5;89.3
STRASBOURG;PARIS EST;15.0;64.0;96.0
STRASBOURG;SARREBOURG;10.0;13.5;20.0
NANTES;BLOIS;15.0;38.0;57.0
BRIVE LA GAILLARDE;MONTAUBAN VILLE BOURBON;10.0;28.5;44.0
LE CROISIC;PARIS AUSTERLITZ;15.0;57.0;86.0
NANCY VILLE;SARREBOURG;10.0;14.8;22.0
ANGERS ST LAUD;AMBOISE;15.0;22.7;34.0
LA SOUTERRAINE;BRIVE LA GAILLARDE;15.0;33.2;49.8
PARIS AUSTERLITZ;LA SOUTERRAINE;15.0;57.0;86.0
LES AUBRAIS;SOUILLAC;15.0;56.0;85.0
LA SOUTERRAINE;TOULOUSE MATABIAU;15.0;38.0;57.0
PARIS AUSTERLITZ;TOULOUSE MATABIAU;15.0;80.0;115.0
BRIVE LA GAILLARDE;CAHORS;10.0;20.5;31.0
LA SOUTERRAINE;CAHORS;15.0;33.5;50.3
