Origine;Destination ;Prix d'appel 2nde;Plein Tarif 2nde;Plein Tarif 1ère
MARSEILLE ST CHARLES;ANTIBES;10.0;34.5;52.0
ARGELES SUR MER;PARIS AUSTERLITZ;25.0;108.0;167.0
BRIVE LA GAILLARDE;NARBONNE;15.0;53.0;83.0
AVIGNON;MONTAUBAN VILLE BOURBON;15.0;55.0;87.0
GOURDON;COLLIOURE;20.0;57.0;88.0
ISSOUDUN;GOURDON;15.0;49.0;77.0
LIMOGES BENEDICTINS;PERPIGNAN;25.0;70.0;108.0
PERPIGNAN;CAHORS;15.0;49.0;77.0
ST RAPHAEL VALESCURE;TOULOUSE MATABIAU;20.0;76.0;118.0
AVIGNON;MARMANDE;25.0;69.0;107.0
ARGENTON SUR CREUSE;CAUSSADE TARN ET GARONNE;15.0;51.0;80.0
CAUSSADE TARN ET GARONNE;CERBERE;15.0;49.0;77.0
MARSEILLE ST CHARLES;TOULON;;15.0;23.0
UZERCHE;ARGENTON SUR CREUSE;10.0;29.0;45.0
PARIS GARE DE LYON;ST GERMAIN DES FOSSES;15.0;54.0;83.0
BORDEAUX ST JEAN;ST RAPHAEL VALESCURE;20.0;101.0;154.0
MONTPELLIER;ST RAPHAEL VALESCURE;15.0;50.0;79.0
LES ARCS DRAGUIGNAN;ST RAPHAEL VALESCURE;;8.1;12.9
BRIVE LA GAILLARDE;LES AUBRAIS ORLEANS;15.0;54.0;85.0
MONTPELLIER;LES ARCS DRAGUIGNAN;15.0;48.0;75.0
CHATEAUROUX;GOURDON;15.0;45.0;70.0
BORDEAUX ST JEAN;MONTAUBAN VILLE BOURBON;15.0;34.5;52.0
PARIS BERCY;CAHORS;15.0;77.0;118.0
SOUILLAC;CERBERE;20.0;62.0;93.0
MARSEILLE ST CHARLES;NICE VILLE;10.0;37.0;54.0
BORDEAUX ST JEAN;NARBONNE;20.0;58.0;90.0
MONTPELLIER;NARBONNE;;19.5;30.0
UZERCHE;SALBRIS;15.0;43.0;67.0
CARCASSONNE;PERPIGNAN;;23.0;36.5
NIMES;SETE;;17.0;25.5
LES AUBRAIS ORLEANS;TOULOUSE MATABIAU;15.0;76.0;118.0
MONTPELLIER;TOULOUSE MATABIAU;15.0;40.5;61.0
UZERCHE;TOULOUSE MATABIAU;10.0;40.0;63.0
ARGELES SUR MER;BRIVE LA GAILLARDE;20.0;63.0;97.0
MONTAUBAN VILLE BOURBON;VIERZON VILLE;20.0;65.0;100.0
NIMES;TOULOUSE MATABIAU;15.0;45.0;70.0
ARGENTON SUR CREUSE;TOULOUSE MATABIAU;20.0;60.0;91.0
PORT VENDRES VILLE;TOULOUSE MATABIAU;10.0;39.0;61.0
LA SOUTERRAINE;ST SULPICE LAURIERE;;8.1;12.9
NEVERS;VICHY;;22.5;35.0
CASTELNAUDARY;PARIS AUSTERLITZ;25.0;92.0;144.0
ISSOUDUN;PARIS BERCY;15.0;38.5;58.0
ARGENTON SUR CREUSE;LA SOUTERRAINE;;12.4;19.0
PARIS BERCY;BANYULS SUR MER;25.0;109.0;170.0
CASTELNAUDARY;CAHORS;10.0;29.0;45.0
CARCASSONNE;CAHORS;10.0;34.0;52.0
COLLIOURE;CAHORS;15.0;52.0;81.0
PARIS AUSTERLITZ;RIOM CHATEL GUYON;15.0;61.0;91.0
PARIS BERCY;MOULINS SUR ALLIER;15.0;49.0;75.0
BEZIERS;MONTPELLIER;;15.5;24.0
CERBERE;MONTAUBAN VILLE BOURBON;15.0;47.0;74.0
PARIS BERCY;ST GERMAIN DES FOSSES;15.0;54.0;83.0
CAUSSADE TARN ET GARONNE;PERPIGNAN;10.0;44.0;68.0
PARIS BERCY;SALBRIS;10.0;31.0;47.0
CLERMONT FERRAND;RIOM CHATEL GUYON;;4.8;7.6
MONTAUBAN VILLE BOURBON;NARBONNE;10.0;33.5;51.0
VICHY;MOULINS SUR ALLIER;;12.4;19.0
CARCASSONNE;GOURDON;10.0;39.0;61.0
NIMES;MARMANDE;20.0;66.0;102.0
TOULON;LES ARCS DRAGUIGNAN;;15.5;23.5
PARIS GARE DE LYON;TOULOUSE MATABIAU;15.0;86.0;130.0
PARIS AUSTERLITZ;VICHY;15.0;54.0;83.0
GOURDON;VIERZON VILLE;15.0;52.0;82.0
ISSOUDUN;CAHORS;15.0;53.0;83.0
ALLASSAC;BRIVE LA GAILLARDE;;5.3;8.6
ELNE;BANYULS SUR MER;;7.0;11.3
BORDEAUX ST JEAN;NICE VILLE;20.0;105.0;162.0
ARLES;MONTPELLIER;;19.0;29.0
CAUSSADE TARN ET GARONNE;LES AUBRAIS ORLEANS;25.0;69.0;107.0
LES AUBRAIS ORLEANS;LA SOUTERRAINE;10.0;36.5;55.0
MARSEILLE ST CHARLES;LES ARCS DRAGUIGNAN;;25.0;39.0
LES AUBRAIS ORLEANS;CERBERE;25.0;101.0;155.0
CASTELNAUDARY;COLLIOURE;10.0;31.5;48.0
PARIS BERCY;VICHY;15.0;54.0;83.0
ELNE;VIERZON VILLE;25.0;90.0;140.0
LES AUBRAIS ORLEANS;VIERZON VILLE;;17.5;26.0
LES AUBRAIS ORLEANS;MONTAUBAN VILLE BOURBON;25.0;72.0;110.0
BEZIERS;MARSEILLE ST CHARLES;10.0;39.5;62.0
AGEN;MARSEILLE ST CHARLES;20.0;73.0;111.0
BORDEAUX ST JEAN;MARMANDE;;17.0;25.5
MONTAUBAN VILLE BOURBON;SETE;15.0;42.0;66.0
BORDEAUX ST JEAN;SETE;20.0;66.0;102.0
COLLIOURE;PORT VENDRES VILLE;;1.5;3.3
CASTELNAUDARY;PARIS GARE DE LYON;25.0;92.0;144.0
UZERCHE;PARIS AUSTERLITZ;15.0;64.0;100.0
ARGELES SUR MER;BANYULS SUR MER;;4.3;7.6
SOUILLAC;BANYULS SUR MER;20.0;61.0;92.0
UZERCHE;BRIVE LA GAILLARDE;;11.3;17.0
NICE VILLE;ANTIBES;;6.0;9.7
ARGENTON SUR CREUSE;PARIS BERCY;15.0;45.0;70.0
ISSOUDUN;PARIS GARE DE LYON;15.0;38.5;58.0
ARGELES SUR MER;PARIS BERCY;25.0;108.0;167.0
PARIS AUSTERLITZ;NARBONNE;20.0;102.0;157.0
CLERMONT FERRAND;MOULINS SUR ALLIER;;21.5;33.5
ELNE;NARBONNE;;17.0;25.0
PARIS BERCY;COLLIOURE;25.0;109.0;168.0
GOURDON;ELNE;15.0;54.0;85.0
CHATEAUROUX;LA SOUTERRAINE;;17.0;25.5
UZERCHE;LA SOUTERRAINE;;22.5;35.0
BRIVE LA GAILLARDE;VIERZON VILLE;15.0;46.0;72.0
