Origine;Destination;Prix d'appel  2nde;Plein tarif Loisir couchette 2nde;Plein tarif Loisir couchette 1ère;Plein tarif Loisir  Siège inclinable
EMBRUN;CREST;;27.7;41.5;27.7
GAP;PARIS BERCY;35.0;139.0;208.0;104.0
HENDAYE;LES AUBRAIS - ORLÉANS;35.0;129.0;190.0;90.0
ORTHEZ;LES AUBRAIS - ORLÉANS;35.0;123.0;181.0;86.0
BRIANCON;L'ARGENTIERE LES ECRINS  (05);;3.3;5.0;3.3
VIVIEZ DECAZEVILLE;FIGEAC;;4.8;7.2;4.8
LATOUR DE CAROL ENVEITG;MERENS LES VALS;;6.8;10.2;6.8
ST CHRISTOPHE;CAPDENAC;;7.9;11.8;7.9
PAU;LOURDES;;8.3;12.5;8.3
ALBI MADELEINE;CAPDENAC;;20.4;30.5;20.4
IRUN;ORTHEZ;;18.1;27.2;18.1
CAPDENAC;ST DENIS PRES MARTEL;;12.9;19.3;12.9
AX LES THERMES;PAMIERS;;11.4;17.0;11.4
RODEZ;VIVIEZ DECAZEVILLE;;10.4;15.6;10.4
VIVIEZ DECAZEVILLE;LES AUBRAIS - ORLÉANS;35.0;110.0;157.0;76.0
PAMIERS;VIERZON VILLE;35.0;121.0;179.0;96.0
ST RAPHAEL VALESCURE;PARIS AUSTERLITZ;35.0;160.0;247.0;129.0
PORTE PUYMORENS;PARIS AUSTERLITZ;35.0;149.0;218.0;110.0
TARBES;PARIS AUSTERLITZ;35.0;130.0;189.0;95.0
CHORGES;PARIS AUSTERLITZ;35.0;147.0;222.0;112.0
ST CHRISTOPHE;ST DENIS PRES MARTEL;;18.3;27.4;18.3
CHORGES;DIE;;18.7;28.1;18.7
AX LES THERMES;LUZENAC GARANOU;;2.4;3.5;2.4
ST CHRISTOPHE;AUBIN;;4.0;5.9;4.0
ORTHEZ;MONTREJEAU GOURDAN POLIGNAN;;26.5;39.7;26.5
ALBI MADELEINE;AUBIN;;22.5;33.7;22.5
MOÛTIERS SALINS BRIDES-L-BAINS;PARIS AUSTERLITZ;35.0;134.0;201.0;101.0
MONTAUBAN VILLE BOURBON;LES AUBRAIS - ORLÉANS;35.0;116.0;171.0;81.0
