Origine;Destination;Prix d'appel  2nde;Tarif normal 2nde;Tarif normal 1ère;empty;empty
LES AUBRAIS;ORLÉANS;;1.2;1.8;;
ST PIERRE DES CORPS;TOURS;;1.4;2.1;;
BRASSAC LES MINES;ARVANT;;2.0;3.0;;
CAUDRY;CAMBRAI;;3.9;5.9;;
LONGUEVILLE (IDF);NOGENT SUR SEINE;;5.1;7.6;;
PONT STE MAXENCE;COMPIÈGNE;;5.1;7.6;;
BERNAY;LISIEUX;;7.0;10.5;;
VILLEFORT;GRAND COMBES-LA PISE;;7.4;11.1;;
TROYES;VENDEUVRE;;7.5;11.3;;
LA ROCHE SUR YON;LUÇON;;7.9;11.8;;
ROMILLY;TROYES;;7.9;11.8;;
CHÂTEAU DU LOIR;ST PIERRE DES CORPS;;10.1;15.1;;
PARIS NORD;CREIL;;10.3;15.4;;
MONTPON-MÉNESTÉROL;NIVERSAC;;12.2;18.2;;
NIVERSAC;BRIVE LA GAILLARDE;;12.2;18.2;;
PONT STE MAXENCE;TERGNIER;;13.2;19.8;;
ST ASTIER;TERRASSON;;13.5;20.2;;
ECOMMOY;ST PIERRE DES CORPS;;14.5;21.8;;
ST JEAN DE LUZ;ORTHEZ;;16.0;24.0;;
CAEN;SÉES;;16.5;24.7;;
PÉRIGUEUX;TULLE (+ REBROUSSEMENT);;17.8;26.7;;
BIARRITZ;COARRAZE-NAY;;22.9;34.4;;
BRASSAC LES MINES;LA BASTIDE ST LAURENT;;23.2;34.8;;
ST-JUST-EN-CHAUSSÉE;RANG-DU FLIERS;;23.4;35.0;;
PARIS GARE DE BERCY;NOGENT SUR VERNISSON;;23.5;35.2;;
VIERZON;MONTLUÇON;;24.2;36.3;;
MUSSIDAN;CORRÈZE;;26.4;39.6;;
LES AUBRAIS;SAINT FLORENT SUR CHER;10;27.3;41.0;;
PARIS EST;TROYES;10;27.9;41.9;;
BRASSAC LES MINES;GÉNOLHAC;;28.1;42.1;;
