trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN008913F57057~TGF91142,09:25:00,09:25:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008913F57057~TGF91142,10:27:00,10:30:00,StopPoint:OCETGV INOUI-87396002,1,"",0,0,
OCESN008913F57057~TGF91142,11:07:00,11:10:00,StopPoint:OCETGV INOUI-87484006,2,"",0,0,
OCESN008913F57057~TGF91142,11:50:00,11:54:00,StopPoint:OCETGV INOUI-87481002,3,"",0,0,
OCESN008913F57057~TGF91142,12:30:00,12:33:00,StopPoint:OCETGV INOUI-87481705,4,"",0,0,
OCESN008913F57057~TGF91142,12:48:00,12:52:00,StopPoint:OCETGV INOUI-87481754,5,"",0,0,
OCESN008913F57057~TGF91142,13:02:00,13:02:00,StopPoint:OCETGV INOUI-87481788,6,"",0,0,
OCESN008913F55055~TGF91141,09:39:00,09:39:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008913F55055~TGF91141,10:34:00,10:37:00,StopPoint:OCETGV INOUI-87396002,1,"",0,0,
OCESN008913F55055~TGF91141,11:13:00,11:16:00,StopPoint:OCETGV INOUI-87484006,2,"",0,0,
OCESN008913F55055~TGF91141,11:54:00,11:58:00,StopPoint:OCETGV INOUI-87481002,3,"",0,0,
OCESN008913F55055~TGF91141,12:33:00,12:36:00,StopPoint:OCETGV INOUI-87481705,4,"",0,0,
OCESN008913F55055~TGF91141,12:49:00,12:53:00,StopPoint:OCETGV INOUI-87481754,5,"",0,0,
OCESN008913F55055~TGF91141,13:03:00,13:03:00,StopPoint:OCETGV INOUI-87481788,6,"",0,0,
OCESN008937F06006-1263890444,20:43:00,20:43:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008937F06006-1263890444,22:05:00,22:08:00,StopPoint:OCETGV INOUI-87484006,1,"",0,0,
OCESN008937F06006-1263890444,22:45:00,22:45:00,StopPoint:OCETGV INOUI-87481002,2,"",0,0,
OCESN008935F09009-1262890443,19:46:00,19:46:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008935F09009-1262890443,20:42:00,20:45:00,StopPoint:OCETGV INOUI-87396002,1,"",0,0,
OCESN008935F09009-1262890443,21:46:00,21:48:00,StopPoint:OCETGV INOUI-87481192,2,"",0,0,
OCESN008935F09009-1262890443,22:06:00,22:06:00,StopPoint:OCETGV INOUI-87481002,3,"",0,0,
OCESN008913F15015~TGF91140,09:38:00,09:38:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008913F15015~TGF91140,10:34:00,10:37:00,StopPoint:OCETGV INOUI-87396002,1,"",0,0,
OCESN008913F15015~TGF91140,11:14:00,11:17:00,StopPoint:OCETGV INOUI-87484006,2,"",0,0,
OCESN008913F15015~TGF91140,11:54:00,11:58:00,StopPoint:OCETGV INOUI-87481002,3,"",0,0,
OCESN008913F15015~TGF91140,12:33:00,12:36:00,StopPoint:OCETGV INOUI-87481705,4,"",0,0,
OCESN008913F15015~TGF91140,12:49:00,12:53:00,StopPoint:OCETGV INOUI-87481754,5,"",0,0,
OCESN008913F15015~TGF91140,13:03:00,13:03:00,StopPoint:OCETGV INOUI-87481788,6,"",0,0,
OCESN008931F26026~TGF91162,18:44:00,18:44:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008931F26026~TGF91162,19:48:00,19:50:00,StopPoint:OCETGV INOUI-87396408,1,"",0,0,
OCESN008931F26026~TGF91162,20:10:00,20:13:00,StopPoint:OCETGV INOUI-87484006,2,"",0,0,
OCESN008931F26026~TGF91162,20:50:00,20:50:00,StopPoint:OCETGV INOUI-87481002,3,"",0,0,
OCESN008937F17017~TGF91165,20:43:00,20:43:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008937F17017~TGF91165,22:09:00,22:12:00,StopPoint:OCETGV INOUI-87484006,1,"",0,0,
OCESN008937F17017~TGF91165,22:50:00,22:54:00,StopPoint:OCETGV INOUI-87481002,2,"",0,0,
OCESN008937F17017~TGF91165,23:31:00,23:34:00,StopPoint:OCETGV INOUI-87481705,3,"",0,0,
OCESN008937F17017~TGF91165,23:48:00,23:52:00,StopPoint:OCETGV INOUI-87481754,4,"",0,0,
OCESN008937F17017~TGF91165,24:01:00,24:01:00,StopPoint:OCETGV INOUI-87481788,5,"",0,0,
OCESN008931F41041~TGF91163,18:44:00,18:44:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008931F41041~TGF91163,19:47:00,19:50:00,StopPoint:OCETGV INOUI-87396408,1,"",0,0,
OCESN008931F41041~TGF91163,20:10:00,20:13:00,StopPoint:OCETGV INOUI-87484006,2,"",0,0,
OCESN008931F41041~TGF91163,20:50:00,20:54:00,StopPoint:OCETGV INOUI-87481002,3,"",0,0,
OCESN008931F41041~TGF91163,21:29:00,21:32:00,StopPoint:OCETGV INOUI-87481705,4,"",0,0,
OCESN008931F41041~TGF91163,21:45:00,21:49:00,StopPoint:OCETGV INOUI-87481754,5,"",0,0,
OCESN008931F41041~TGF91163,21:59:00,21:59:00,StopPoint:OCETGV INOUI-87481788,6,"",0,0,
OCESN008921F27027~TGF91147,12:44:00,12:44:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008921F27027~TGF91147,14:05:00,14:12:00,StopPoint:OCETGV INOUI-87484006,1,"",0,0,
OCESN008921F27027~TGF91147,14:50:00,14:54:00,StopPoint:OCETGV INOUI-87481002,2,"",0,0,
OCESN008921F27027~TGF91147,15:31:00,15:34:00,StopPoint:OCETGV INOUI-87481705,3,"",0,0,
OCESN008921F27027~TGF91147,15:48:00,15:52:00,StopPoint:OCETGV INOUI-87481754,4,"",0,0,
OCESN008921F27027~TGF91147,16:01:00,16:01:00,StopPoint:OCETGV INOUI-87481788,5,"",0,0,
OCESN008921F15015~TGF91145,12:44:00,12:44:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008921F15015~TGF91145,14:06:00,14:13:00,StopPoint:OCETGV INOUI-87484006,1,"",0,0,
OCESN008921F15015~TGF91145,14:50:00,14:54:00,StopPoint:OCETGV INOUI-87481002,2,"",0,0,
OCESN008921F15015~TGF91145,15:29:00,15:32:00,StopPoint:OCETGV INOUI-87481705,3,"",0,0,
OCESN008921F15015~TGF91145,15:46:00,15:50:00,StopPoint:OCETGV INOUI-87481754,4,"",0,0,
OCESN008921F15015~TGF91145,15:59:00,15:59:00,StopPoint:OCETGV INOUI-87481788,5,"",0,0,
OCESN008927F1101112629,17:48:00,17:48:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008927F1101112629,19:10:00,19:13:00,StopPoint:OCETGV INOUI-87484006,1,"",0,0,
OCESN008927F1101112629,19:50:00,19:54:00,StopPoint:OCETGV INOUI-87481002,2,"",0,0,
OCESN008927F1101112629,20:31:00,20:34:00,StopPoint:OCETGV INOUI-87481705,3,"",0,0,
OCESN008927F1101112629,20:44:00,20:47:00,StopPoint:OCETGV INOUI-87481747,4,"",0,0,
OCESN008927F1101112629,20:51:00,20:55:00,StopPoint:OCETGV INOUI-87481754,5,"",0,0,
OCESN008927F1101112629,20:59:00,21:01:00,StopPoint:OCETGV INOUI-87481762,6,"",0,0,
OCESN008927F1101112629,21:08:00,21:08:00,StopPoint:OCETGV INOUI-87481788,7,"",0,0,
OCESN008917F1601612610,10:24:00,10:24:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008917F1601612610,11:27:00,11:30:00,StopPoint:OCETGV INOUI-87396002,1,"",0,0,
OCESN008917F1601612610,12:08:00,12:11:00,StopPoint:OCETGV INOUI-87484006,2,"",0,0,
OCESN008917F1601612610,12:48:00,12:52:00,StopPoint:OCETGV INOUI-87481002,3,"",0,0,
OCESN008917F1601612610,13:29:00,13:32:00,StopPoint:OCETGV INOUI-87481705,4,"",0,0,
OCESN008917F1601612610,13:42:00,13:44:00,StopPoint:OCETGV INOUI-87481747,5,"",0,0,
OCESN008917F1601612610,13:55:00,14:00:00,StopPoint:OCETGV INOUI-87481754,6,"",0,0,
OCESN008917F1601612610,14:03:00,14:06:00,StopPoint:OCETGV INOUI-87481762,7,"",0,0,
OCESN008917F1601612610,14:13:00,14:13:00,StopPoint:OCETGV INOUI-87481788,8,"",0,0,
OCESN008917F1401412606,10:38:00,10:38:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008917F1401412606,11:34:00,11:37:00,StopPoint:OCETGV INOUI-87396002,1,"",0,0,
OCESN008917F1401412606,12:14:00,12:17:00,StopPoint:OCETGV INOUI-87484006,2,"",0,0,
OCESN008917F1401412606,12:54:00,12:58:00,StopPoint:OCETGV INOUI-87481002,3,"",0,0,
OCESN008917F1401412606,13:33:00,13:36:00,StopPoint:OCETGV INOUI-87481705,4,"",0,0,
OCESN008917F1401412606,13:46:00,13:48:00,StopPoint:OCETGV INOUI-87481747,5,"",0,0,
OCESN008917F1401412606,13:53:00,14:00:00,StopPoint:OCETGV INOUI-87481754,6,"",0,0,
OCESN008917F1401412606,14:03:00,14:06:00,StopPoint:OCETGV INOUI-87481762,7,"",0,0,
OCESN008917F1401412606,14:12:00,14:12:00,StopPoint:OCETGV INOUI-87481788,8,"",0,0,
