service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2199,1,1,1,1,1,0,0,20201214,20201231
2526,1,1,1,1,0,1,0,20201207,20201212
988,1,1,1,1,1,0,0,20210104,20210305
1043,1,1,1,1,1,0,0,20201214,20201231
887,1,1,1,1,1,0,0,20201207,20201211
2261,1,1,1,1,0,0,0,20201207,20201210
905,1,1,1,1,0,0,0,20201207,20201210
1737,1,1,1,1,1,1,0,20201207,20201212
439,0,0,0,0,1,0,0,20201225,20210101
1508,0,0,0,0,1,0,0,20201218,20210305
4096,0,0,0,0,0,0,1,20201213,20210103
263,1,1,1,1,1,0,0,20201214,20210305
2896,0,0,0,0,0,1,0,20210123,20210306
2408,1,1,1,1,1,0,0,20210104,20210115
2231,1,1,1,1,1,0,0,20210118,20210305
1483,0,0,0,0,0,0,1,20210124,20210228
4143,0,0,1,1,1,0,0,20201209,20201211
4142,1,1,0,0,0,0,0,20201207,20201208
2431,1,1,0,0,0,0,0,20210125,20210126
406,0,0,0,1,0,0,0,20201224,20201231
2333,0,0,0,0,0,0,1,20201213,20210228
8322,1,1,1,1,1,0,1,20201213,20210103
1263,0,0,0,0,1,0,1,20210104,20210207
7789,1,1,1,1,1,0,1,20210104,20210305
204,1,1,1,1,1,0,0,20201207,20201211
8323,0,1,0,0,0,0,1,20201222,20201228
8327,0,0,0,0,0,0,1,20201213,20210228
1457,1,1,1,1,1,1,0,20201207,20201212
6151,1,1,1,1,1,1,0,20210104,20210306
5136,1,0,0,0,0,0,0,20201214,20210201
8339,1,1,1,1,0,0,0,20201214,20210304
8345,1,1,1,1,1,0,1,20201213,20210103
1258,0,0,0,0,1,1,0,20201211,20201212
1514,1,1,1,1,1,0,0,20201207,20201211
1735,0,0,0,0,0,0,1,20210221,20210228
2259,0,0,0,0,1,1,0,20201211,20201212
277,0,0,0,0,0,0,1,20201213,20210228
1103,0,0,0,0,0,1,0,20210220,20210227
959,1,1,1,1,0,0,0,20210104,20210304
1408,0,0,0,0,0,1,1,20210220,20210228
1846,0,0,0,0,1,1,1,20201213,20210103
8593,1,1,1,1,0,0,0,20201207,20201210
8594,1,1,1,1,0,0,0,20201207,20201210
6807,1,0,0,0,0,0,0,20210118,20210301
6189,0,0,0,0,1,1,1,20210104,20210117
2230,1,1,1,1,1,0,1,20210118,20210305
2227,1,1,1,1,1,0,1,20210104,20210117
6237,0,0,0,0,0,1,0,20201219,20210116
6239,0,0,0,0,0,1,0,20210123,20210227
3782,0,0,0,0,0,1,0,20201219,20210116
