OD;Prix d'appel 2nde ;Plein Tarif Loisir 2nde;1ère classe;Commentaires
LILLE FLANDRES-AGDE;30.0;150.0;188.0;
ARRAS-SETE;30.0;150.0;188.0;
PERPIGNAN-TGV HAUTE PICARDIE;30.0;150.0;188.0;
DOLE VILLE-PARIS MONTPARNASSE 1 ET 2;20.0;76.0;106.0;
COLMAR-MACON VILLE;20.0;72.0;90.0;
COLMAR-VALENCE TGV;20.0;98.0;128.0;
BELFORT-MONTBELIARD TGV-CHALON SUR SAONE;15.0;51.0;66.0;
DIJON VILLE-ANTIBES;25.0;124.0;161.0;
DIJON VILLE-VALENCE TGV;20.0;63.0;81.0;
BESANCON VIOTTE-BELFORT-MONTBELIARD TGV;;25.5;34.0;
NANCY VILLE-MONTPELLIER;25.0;117.0;151.0;
TOUL-ANTIBES;25.0;135.0;175.0;
METZ VILLE-NICE VILLE;25.0;143.0;183.0;
LAVAL-ANNEMASSE;25.0;120.0;162.0;
CASTELNAUDARY-AEROPORT CDG 2 TGV ROISSY;25.0;116.0;162.0;
MARNE LA VALLEE CHESSY-PERPIGNAN;25.0;124.0;175.0;
CANNES-AEROPORT CDG 2 TGV ROISSY;25.0;132.0;185.0;
AEROPORT CDG 2 TGV ROISSY-ANTIBES;25.0;132.0;185.0;
MASSY TGV-ST AVRE LA CHAMBRE;25.0;109.0;144.0;
PARIS GARE DE LYON-THONON LES BAINS;25.0;108.0;152.0;
PARIS GARE DE LYON-BELFORT-MONTBELIARD TGV;20.0;97.0;126.0;
PARIS GARE DE LYON-VALENCE;25.0;103.0;143.0;
MARNE LA VALLEE CHESSY-VALENCE;25.0;103.0;143.0;
VERSAILLES CHANTIERS-VALENCE;25.0;103.0;143.0;
LYON ST EXUPERY-NANTES;25.0;108.0;143.0;
LYON PART DIEU-CHATELLERAULT;25.0;96.0;135.0;
AVIGNON-LES ARCS DRAGUIGNAN;;50.0;73.0;
MEUSE-EPINAL;;37.0;54.0;
CHAMBERY CHALLES LES EAUX-VENDOME VILLIERS SUR LOIR;;114.0;151.0;
VENDOME VILLIERS SUR LOIR-MARNE LA VALLEE CHESSY;15.0;65.0;89.0;
LILLE EUROPE-ECOLE VALENTIN;;120.0;155.0;
AVIGNON-MENTON;;62.0;88.0;
LAVAL-ST JEAN DE MAURIENNE ARVAN;25.0;127.0;166.0;
BESANCON VIOTTE-BOURG ST MAURICE;;78.0;97.0;
AIME LA PLAGNE-ECOLE VALENTIN;;78.0;97.0;
VALENCE-MONTAUBAN VILLE BOURBON;15.0;83.0;110.0;
ST JEAN DE MAURIENNE ARVAN-ST MICHEL VALLOIRE;;4.1;7.4;
PORNICHET-ST NAZAIRE;;4.7;8.3;
CLUSES  74-SALLANCHES COMBLOUX MEGEVE;;5.3;8.4;
MONTPELLIER-SETE;;8.4;13.2;
ANNEMASSE-THONON LES BAINS;;8.9;13.7;
ARLES-MIRAMAS;;9.6;14.3;
LILLE EUROPE-LENS;;10.6;15.5;
ANNECY-AIX LES BAINS LE REVARD;;10.6;15.5;
LA ROCHE SUR FORON-SALLANCHES COMBLOUX MEGEVE;;10.8;16.0;
MOUTIERS SALINS BRIDES-ALBERTVILLE;;11.0;16.0;
VALENCE-MONTELIMAR;;11.3;17.0;
CAEN-LISON;;13.5;19.5;
ST ETIENNE CHATEAUCREUX-LYON PERRACHE;;13.7;20.0;
PAU-TARBES;;13.7;20.5;
MOUCHARD-PONTARLIER;;14.2;20.5;
BELLEGARDE-THONON LES BAINS;;15.0;22.0;
REDON-AURAY;;16.5;23.5;
AVIGNON-LE TEIL;;17.5;24.0;
AVIGNON-SETE;;18.0;23.5;
CHAMBERY CHALLES LES EAUX-MOUTIERS SALINS BRIDES;;22.0;32.0;
