service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
6840,1,1,1,1,1,1,1,20201213,20210222
6837,1,1,1,1,1,1,1,20201128,20201212
240,1,1,1,1,1,0,0,20201214,20210222
6829,1,1,1,1,1,0,1,20201124,20201211
61,1,1,1,1,1,0,0,20201124,20201211
313,1,1,1,1,1,1,1,20201213,20210222
3869,1,1,1,1,1,1,1,20201124,20201212
818,1,1,1,1,1,0,1,20201213,20210222
511,0,0,0,0,0,0,1,20201213,20210221
685,0,0,0,0,0,0,1,20201129,20201206
6844,1,1,1,1,0,1,0,20201214,20210222
6458,1,1,1,1,1,0,1,20201124,20201211
7539,1,1,1,1,0,1,0,20201124,20201212
5019,0,1,1,0,0,0,0,20201124,20201125
6836,1,1,1,1,1,1,0,20201124,20201212
6838,1,1,1,1,1,1,1,20201213,20210222
592,1,1,1,1,1,1,0,20201214,20210222
7141,1,1,1,1,1,1,1,20201213,20210221
1024,1,1,1,1,1,1,1,20201124,20201212
4349,1,1,1,1,1,1,1,20201124,20201212
7156,1,1,1,1,0,1,0,20210104,20210131
7157,1,1,1,1,0,1,0,20201128,20201212
2722,1,1,1,1,1,1,1,20201124,20201212
7246,1,1,1,1,1,1,0,20201124,20201212
7076,1,1,1,1,1,1,1,20201124,20201212
7540,0,0,0,0,0,0,1,20201213,20210221
7541,0,0,0,0,1,1,0,20201225,20210101
7542,0,0,0,0,1,1,0,20201225,20210101
7543,0,0,0,0,1,1,0,20201225,20210101
721,0,0,0,0,0,0,1,20201213,20210221
7544,0,0,0,0,0,0,1,20201213,20210221
134,0,0,0,0,0,0,1,20201129,20201206
7545,0,0,0,0,0,0,1,20201213,20210221
7546,0,0,0,0,1,1,0,20201225,20210101
7547,0,0,0,0,0,0,1,20201213,20210221
7548,0,0,0,0,1,1,0,20201225,20210101
7549,0,0,0,0,0,0,1,20201213,20210221
7550,0,0,0,0,1,1,0,20201225,20210101
7551,0,0,0,0,0,0,1,20201213,20210221
7552,0,0,0,0,0,0,1,20201213,20210221
7553,0,0,0,0,1,1,0,20201225,20210101
7554,0,0,0,0,1,1,0,20201225,20210101
7555,0,0,0,0,0,0,1,20201213,20210221
7556,0,0,0,0,1,1,0,20201225,20210101
7557,0,0,0,0,0,0,1,20201213,20210221
3,1,1,1,1,1,0,0,20201124,20201211
777,1,1,1,1,1,0,0,20201214,20210222
2206,1,1,1,1,1,1,1,20201213,20210222
137,1,1,1,1,1,1,1,20201124,20201212
3423,1,1,1,1,1,1,1,20201213,20210222
512,1,1,1,1,1,1,0,20201124,20201212
3716,1,1,1,1,1,1,0,20201214,20210222
2,0,0,0,0,0,0,1,20201129,20201206
7558,1,1,1,1,1,1,0,20201214,20210222
1577,0,0,0,0,0,1,0,20201219,20210220
135,0,0,0,0,0,1,0,20201128,20201212
7559,0,0,0,0,0,0,1,20201213,20210221
7560,0,0,0,1,0,0,0,20201224,20201231
7561,1,1,1,1,1,1,1,20201213,20210222
7563,1,1,1,1,1,1,0,20201214,20210222
339,0,0,0,0,1,0,1,20201127,20201211
7564,0,0,0,0,0,1,0,20201128,20201212
7565,1,1,1,1,1,0,0,20201124,20201211
5,1,1,1,1,1,0,1,20201124,20201211
7566,1,1,1,1,1,0,0,20201214,20201218
136,1,1,1,1,1,1,0,20201124,20201212
7511,0,0,0,0,0,1,1,20201128,20201212
7568,1,0,0,0,0,0,0,20201214,20210222
7569,0,0,0,0,1,0,0,20201218,20210219
7570,1,1,1,1,0,0,0,20201214,20210222
7571,0,0,0,0,1,0,0,20201218,20210219
7572,0,0,0,0,1,1,0,20201219,20210103
7573,0,1,1,1,1,0,0,20201215,20210219
7574,0,0,0,0,1,0,0,20201218,20210219
7575,0,0,0,0,0,1,1,20201213,20210124
7576,1,1,1,1,1,0,0,20201214,20210222
7577,0,0,0,0,0,1,1,20201213,20210124
7578,1,1,1,1,1,0,0,20201214,20210222
7579,0,0,0,0,0,1,1,20201213,20210124
7580,1,1,1,1,1,1,1,20201213,20210222
7581,0,0,0,0,0,0,1,20201213,20210124
7582,1,1,1,1,1,1,1,20201213,20210222
7583,1,1,1,1,1,0,0,20201214,20210222
7584,1,1,1,1,1,0,0,20201214,20210222
7585,0,0,0,0,0,1,1,20201213,20210124
7586,0,1,1,1,1,0,0,20201215,20210219
7587,1,1,1,1,1,0,0,20201214,20210222
7588,0,0,0,0,0,0,1,20201213,20210124
7589,0,0,0,0,0,0,1,20201213,20210124
7590,0,0,0,0,1,1,0,20201219,20210103
7591,0,0,0,0,1,1,0,20201219,20210103
7592,0,0,0,0,1,0,0,20201218,20210219
7593,1,0,0,0,0,0,0,20201214,20210222
7594,1,1,1,1,1,1,0,20201214,20210222
7595,0,0,0,0,0,1,1,20201213,20210124
7596,0,0,0,0,0,0,1,20201213,20210124
7597,1,1,1,1,1,1,1,20201213,20210222
7598,0,0,0,0,0,0,1,20201213,20210124
7599,1,1,1,1,1,1,1,20201213,20210222
7600,0,0,0,0,0,0,1,20201213,20210124
7601,1,1,1,1,1,0,0,20201214,20210222
7602,1,1,1,1,1,0,0,20201214,20210222
7603,0,0,0,0,1,1,0,20201219,20210103
7604,0,0,0,0,0,0,1,20201213,20210124
7605,1,1,1,1,1,1,1,20201213,20210222
4171,0,0,1,0,1,1,0,20201216,20210220
7606,1,1,1,1,1,1,1,20201124,20201212
4170,0,0,1,0,1,1,0,20201125,20201212
316,1,1,1,1,1,0,1,20201213,20210222
286,1,1,1,1,1,1,0,20201214,20210222
7608,0,0,0,0,1,0,0,20201218,20210219
7609,1,1,1,1,0,0,0,20201214,20210222
7610,0,0,0,0,1,0,0,20201218,20210219
7611,0,0,0,0,0,1,1,20201213,20210214
7612,0,0,0,0,0,1,1,20201213,20210214
183,0,0,0,0,0,1,1,20210123,20210124
7613,1,1,1,1,0,0,0,20201214,20210222
7614,1,1,1,1,0,0,0,20201214,20210222
7615,0,0,0,0,0,1,0,20210125,20210213
201,0,0,0,0,0,1,0,20210125,20210213
7616,1,1,0,1,1,0,0,20201214,20210222
7617,0,0,1,0,0,0,0,20201216,20210217
7618,0,0,0,0,0,0,1,20201213,20210214
7619,0,0,0,0,1,0,0,20201218,20210212
7620,0,0,0,0,0,0,1,20201213,20210214
7621,0,0,0,0,1,0,0,20201218,20210219
7622,0,0,0,0,1,0,0,20201218,20210219
7623,0,0,0,0,0,0,1,20201213,20210214
7624,0,0,0,0,0,0,1,20201213,20210214
7626,1,1,1,1,1,1,0,20201214,20210222
7627,0,0,0,0,1,0,0,20201218,20210219
507,0,0,0,0,1,0,0,20201225,20210101
7628,0,0,0,0,1,0,0,20201218,20210219
7629,1,1,1,1,0,0,0,20201214,20210222
7630,0,0,0,0,0,1,0,20210125,20210213
976,0,0,0,0,0,0,1,20201213,20210214
7631,0,0,0,0,0,1,1,20201213,20210214
7632,0,0,0,0,0,0,1,20201213,20210214
7635,1,1,1,1,1,0,0,20201214,20210222
7636,0,1,0,1,1,0,1,20201213,20210214
7637,0,0,0,0,1,0,0,20201218,20210212
7638,0,0,0,0,0,0,1,20201213,20210214
7639,1,0,1,0,0,0,0,20201214,20210222
174,0,1,1,1,1,0,0,20201124,20201127
980,1,1,1,1,1,0,0,20201130,20201211
7641,0,0,0,0,0,1,0,20201205,20201212
7642,0,0,0,0,1,0,0,20201127,20201211
187,0,0,0,0,0,1,0,20201205,20201212
627,1,1,1,1,1,0,0,20201124,20201211
3318,0,0,0,0,1,0,0,20201204,20201211
966,0,0,0,0,0,0,1,20201129,20201206
965,0,0,0,0,1,0,0,20201127,20201211
7644,1,1,1,1,0,0,0,20201124,20201210
178,0,0,0,0,0,1,1,20201205,20201212
964,1,1,1,1,0,0,0,20201124,20201210
975,0,0,0,0,0,1,1,20201129,20201212
7646,0,0,0,0,0,1,0,20201205,20201212
209,0,1,1,1,0,0,0,20201124,20201126
978,1,1,1,1,1,0,0,20201127,20201211
7647,1,1,1,1,0,0,0,20201124,20201210
7648,0,0,0,0,1,0,0,20201127,20201211
7650,0,0,0,0,0,1,0,20201205,20201212
7651,1,1,1,1,1,0,0,20201124,20201211
981,0,0,0,0,0,1,1,20201128,20201129
7653,0,0,0,0,0,1,1,20201129,20201212
7655,0,0,0,0,0,1,0,20201205,20201212
122,0,0,0,0,1,0,0,20201204,20201211
7658,0,0,0,0,0,0,1,20201213,20210214
7659,1,1,1,1,1,1,1,20201213,20210222
7660,0,0,0,0,0,0,1,20201213,20210214
2681,1,1,1,1,1,0,0,20210208,20210222
7661,0,0,0,0,0,0,1,20201213,20210214
7662,0,0,0,0,0,0,1,20201213,20210214
3227,1,1,1,1,0,0,0,20210208,20210222
7664,0,0,0,0,0,1,0,20210125,20210213
7667,1,1,1,1,1,0,0,20201214,20210205
7668,0,0,0,0,1,1,1,20210104,20210221
7670,1,1,1,1,0,0,0,20201214,20210204
7671,0,0,0,0,0,1,1,20201213,20210214
7672,0,0,0,0,0,1,0,20210125,20210213
7673,1,1,1,1,1,0,0,20201214,20210222
7675,0,0,0,0,1,0,0,20201218,20210205
7677,0,0,0,0,0,1,0,20210125,20210213
7678,1,1,1,1,1,0,0,20201214,20210222
7680,1,0,1,0,1,0,1,20201213,20210222
7681,1,1,1,1,1,0,0,20201214,20210222
7682,1,1,1,1,1,0,1,20201213,20210222
7683,0,0,0,0,0,1,0,20210125,20210213
7685,1,1,1,1,1,0,0,20201214,20210222
