service_id,date,exception_type
6840,20210201,2
6840,20210202,2
6840,20210203,2
6840,20210204,2
6840,20210205,2
6840,20210208,2
6840,20210209,2
6840,20210210,2
6840,20210211,2
6840,20210212,2
240,20201225,2
240,20210101,2
511,20201225,1
511,20210101,1
6844,20201219,2
6844,20201221,2
6844,20201222,2
6844,20201223,2
6844,20201224,2
6844,20201226,2
6844,20201228,2
6844,20201229,2
6844,20201230,2
6844,20201231,2
6844,20210102,2
6458,20201127,2
6836,20201128,2
6838,20210201,2
6838,20210202,2
6838,20210203,2
6838,20210204,2
6838,20210205,2
6838,20210208,2
6838,20210209,2
6838,20210210,2
6838,20210211,2
6838,20210212,2
592,20201225,2
592,20210101,2
7156,20201214,1
7156,20201215,1
7156,20201216,1
7156,20201217,1
7156,20210215,1
7156,20210216,1
7156,20210217,1
7156,20210218,1
7156,20210220,1
7156,20210222,1
7156,20210206,1
7156,20210213,1
7156,20201219,2
2722,20201127,2
7246,20201126,2
7246,20201127,2
7076,20201126,2
721,20201225,1
721,20201226,1
721,20210101,1
777,20201224,2
777,20201225,2
777,20201231,2
777,20210101,2
2206,20201224,2
3423,20201225,2
3716,20210101,2
3716,20201225,2
3716,20201226,2
7558,20210101,2
7558,20201225,2
7558,20201226,2
1577,20201231,1
1577,20201224,1
1577,20201226,2
7559,20201226,1
7559,20210101,1
7561,20201224,2
7562,20201224,1
7563,20201231,2
7563,20210101,2
7563,20201224,2
7563,20201225,2
7563,20201226,2
7567,20201219,1
7569,20201224,1
7569,20201231,1
7569,20201225,2
7569,20210101,2
7570,20201224,2
7570,20201231,2
7571,20201224,1
7571,20201231,1
7571,20201225,2
7571,20210101,2
7572,20210109,1
7572,20210116,1
7572,20210123,1
7573,20201225,2
7573,20210101,2
7574,20201224,1
7574,20201231,1
7574,20201225,2
7574,20210101,2
7575,20201225,1
7575,20210101,1
7576,20201225,2
7576,20210101,2
7577,20201225,1
7577,20210101,1
7578,20201225,2
7578,20210101,2
7579,20201225,1
7579,20210101,1
7580,20210130,2
7580,20210131,2
7580,20210206,2
7580,20210207,2
7580,20210213,2
7580,20210214,2
7580,20210220,2
7580,20210221,2
7582,20210130,2
7582,20210131,2
7582,20210206,2
7582,20210207,2
7582,20210213,2
7582,20210214,2
7582,20210220,2
7582,20210221,2
7583,20201225,2
7583,20210101,2
7584,20201225,2
7584,20210101,2
7585,20201225,1
7585,20210101,1
7586,20201225,2
7586,20210101,2
7587,20201225,2
7587,20210101,2
7590,20210109,1
7590,20210116,1
7590,20210123,1
7591,20210109,1
7591,20210116,1
7591,20210123,1
7592,20201224,1
7592,20201231,1
7592,20201225,2
7592,20210101,2
7594,20210130,2
7594,20210206,2
7594,20210213,2
7594,20210220,2
7595,20201225,1
7595,20210101,1
7597,20210130,2
7597,20210131,2
7597,20210206,2
7597,20210207,2
7597,20210213,2
7597,20210214,2
7597,20210220,2
7597,20210221,2
7599,20210130,2
7599,20210131,2
7599,20210206,2
7599,20210207,2
7599,20210213,2
7599,20210214,2
7599,20210220,2
7599,20210221,2
7601,20201225,2
7601,20210101,2
7602,20201225,2
7602,20210101,2
7603,20210109,1
7603,20210116,1
7603,20210123,1
7605,20210130,2
7605,20210131,2
7605,20210206,2
7605,20210207,2
7605,20210213,2
7605,20210214,2
7605,20210220,2
7605,20210221,2
4171,20201225,2
4171,20210101,2
7607,20201213,1
7607,20201219,1
286,20201225,2
286,20210101,2
7608,20201224,1
7608,20201231,1
7608,20201225,2
7608,20210101,2
7609,20201224,2
7609,20201231,2
7610,20201224,1
7610,20201231,1
7610,20201225,2
7610,20210101,2
7611,20201225,1
7611,20210101,1
7611,20210123,2
7611,20210124,2
7612,20201225,1
7612,20210101,1
7612,20210123,2
7612,20210124,2
7613,20201224,2
7613,20201231,2
7614,20201224,2
7614,20201231,2
7615,20210109,1
7615,20210116,1
7615,20201219,1
7615,20201225,1
7615,20201226,1
7615,20210101,1
7615,20210102,1
201,20210109,1
201,20210116,1
201,20201219,1
201,20201225,1
201,20201226,1
201,20210101,1
201,20210102,1
184,20210123,1
7616,20201225,2
7616,20210101,2
977,20210124,1
7618,20210124,2
7619,20201224,1
7619,20201231,1
7619,20201225,2
7619,20210101,2
7621,20201224,1
7621,20201231,1
7621,20201225,2
7621,20210101,2
7622,20201225,2
7622,20210101,2
7624,20210124,2
7625,20210124,1
7626,20210123,2
7626,20210220,2
7626,20201225,2
7626,20210101,2
7627,20201224,1
7627,20201231,1
7627,20201225,2
7627,20210101,2
7628,20201224,1
7628,20201231,1
7628,20201225,2
7628,20210101,2
7629,20201224,2
7629,20201231,2
7630,20210109,1
7630,20210116,1
7630,20201219,1
7630,20201225,1
7630,20201226,1
7630,20210101,1
7630,20210102,1
976,20210124,2
7631,20201225,1
7631,20210101,1
7631,20210123,2
7633,20210119,1
7633,20210121,1
7633,20210122,1
7633,20201222,1
7633,20201224,1
7633,20210216,1
7633,20210218,1
7633,20210219,1
7634,20201221,1
7634,20201223,1
7634,20210118,1
7634,20210120,1
7634,20210215,1
7634,20210217,1
7635,20201225,2
7635,20210101,2
7636,20210101,2
7636,20201222,2
7636,20201224,2
7636,20201225,2
7636,20210119,2
7636,20210121,2
7636,20210122,2
7636,20210124,2
7637,20201224,1
7637,20201231,1
7637,20201225,2
7637,20210101,2
7638,20210124,2
7639,20201221,2
7639,20201223,2
7639,20210118,2
7639,20210120,2
7639,20210215,2
7639,20210217,2
7640,20210123,1
991,20201129,1
15,20201206,1
449,20201206,1
973,20201128,1
255,20201127,1
7643,20201206,1
1152,20201130,1
1177,20201207,1
7645,20201206,1
7649,20201128,1
7652,20201206,1
7654,20201128,1
7656,20201206,1
7657,20201129,1
4549,20201127,1
7659,20210123,2
7659,20210124,2
7659,20210220,2
7659,20210221,2
7661,20210124,2
7663,20210124,1
7664,20210109,1
7664,20210116,1
7664,20201219,1
7664,20201225,1
7664,20201226,1
7664,20210101,1
7664,20210102,1
7665,20210123,1
7666,20210124,1
7667,20201225,2
7667,20210101,2
7668,20201213,1
7668,20201218,1
7668,20201219,1
7668,20201220,1
7668,20201224,1
7668,20201225,1
7668,20201226,1
7668,20201227,1
7668,20201231,1
7668,20210101,1
7668,20210102,1
7668,20210103,1
7668,20210212,2
7668,20210123,2
7668,20210219,2
7668,20210220,2
7669,20210220,1
7670,20201224,2
7670,20201231,2
7671,20201225,1
7671,20210101,1
7671,20210123,2
7672,20210109,1
7672,20210116,1
7672,20201219,1
7672,20201225,1
7672,20201226,1
7672,20210101,1
7672,20210102,1
7673,20201225,2
7673,20210101,2
7674,20210124,1
7675,20201224,1
7675,20201231,1
7675,20201225,2
7675,20210101,2
7676,20210123,1
7677,20210109,1
7677,20210116,1
7677,20201219,1
7677,20201225,1
7677,20201226,1
7677,20210101,1
7677,20210102,1
7678,20201225,2
7678,20210101,2
7679,20210123,1
7680,20201224,1
7680,20201231,1
7680,20210124,2
7680,20210221,2
7680,20201225,2
7680,20210101,2
7681,20201225,2
7681,20210101,2
7682,20210124,2
7682,20210221,2
7682,20201225,2
7682,20210101,2
7683,20210109,1
7683,20210116,1
7683,20201219,1
7683,20201225,1
7683,20201226,1
7683,20210101,1
7683,20210102,1
7684,20210123,1
7685,20201225,2
7685,20210101,2
7686,20210124,2
7687,20201224,2
7687,20201231,2
7688,20201224,1
7688,20201231,1
7688,20201225,2
7688,20210101,2
7689,20210124,1
7690,20201225,1
7690,20210101,1
7690,20210123,2
7690,20201224,2
7690,20201231,2
7691,20201225,1
7691,20210101,1
7691,20210123,2
7691,20210124,2
7693,20210123,2
7693,20210124,2
7693,20210220,2
7693,20210221,2
7694,20201225,2
7694,20210101,2
7695,20210124,2
7696,20201225,2
7696,20210101,2
7697,20210109,1
7697,20210116,1
7697,20201219,1
7697,20201225,1
7697,20201226,1
7697,20210101,1
7697,20210102,1
7698,20210124,1
7699,20210123,1
7700,20210124,2
7701,20201225,2
7701,20210101,2
7703,20210124,1
7704,20210124,2
7704,20210221,2
7704,20201225,2
7704,20210101,2
7705,20201225,2
7705,20210101,2
7706,20201225,1
7706,20210101,1
7706,20210123,2
7707,20201225,2
7707,20210101,2
7708,20210123,1
7709,20210119,1
7709,20210121,1
7709,20201222,1
7709,20210216,1
7709,20210218,1
7710,20210123,1
7711,20210109,1
7711,20210116,1
7711,20201219,1
7711,20201225,1
7711,20201226,1
7711,20210101,1
7711,20210102,1
7712,20201224,1
7712,20201231,1
7712,20201225,2
7712,20210101,2
7713,20210221,1
7715,20201224,2
7715,20201231,2
7716,20201224,1
7716,20201231,1
7716,20201225,2
7716,20210101,2
7717,20210123,2
7717,20210220,2
7717,20210221,2
7719,20210109,1
7719,20210116,1
7719,20201219,1
7719,20201225,1
7719,20201226,1
7719,20210101,1
7719,20210102,1
7720,20210101,1
7720,20201225,1
7720,20210126,1
7720,20210128,1
7720,20210130,1
7720,20210202,1
7720,20210204,1
7720,20210206,1
7720,20210209,1
7720,20210211,1
7720,20210213,1
7720,20201231,2
7720,20201222,2
7720,20201224,2
7721,20210109,1
7721,20210116,1
7721,20201219,1
7721,20201225,1
7721,20201226,1
7721,20210101,1
7721,20210102,1
7722,20210124,1
7723,20201231,1
7723,20201227,1
7723,20201213,1
7723,20201214,1
7723,20201216,1
7723,20201218,1
7723,20201220,1
7723,20210101,2
7723,20210118,2
7723,20210120,2
7723,20210122,2
7723,20210124,2
7723,20210215,2
7723,20210217,2
7723,20210219,2
7723,20210221,2
7724,20210124,2
7725,20201225,2
7725,20210101,2
7726,20210118,1
7726,20210120,1
7726,20210122,1
7726,20201221,1
7726,20201223,1
7726,20201224,1
7726,20210215,1
7726,20210217,1
7726,20210219,1
7727,20210124,1
7728,20201225,2
7728,20210101,2
7729,20201224,2
7729,20201231,2
7730,20201225,2
7730,20210101,2
7730,20210209,2
7730,20210210,2
7730,20210216,2
7730,20210217,2
7731,20201225,1
7731,20210101,1
7731,20210123,2
7731,20210124,2
7732,20210123,1
200,20210220,1
1890,20201225,1
1890,20210101,1
1890,20210123,2
1890,20210124,2
2810,20210124,2
7734,20201224,1
7734,20201231,1
7734,20201225,2
7734,20210101,2
2132,20210123,2
7736,20210219,1
3566,20201225,1
3566,20210101,1
7746,20201224,2
7746,20201231,2
129,20201225,2
129,20210101,2
1229,20210123,2
3648,20210123,2
3648,20210124,2
7749,20210219,1
2905,20201225,1
2905,20210101,1
2905,20210123,2
1889,20210109,1
1889,20210116,1
1889,20201219,1
1889,20201225,1
1889,20201226,1
1889,20210101,1
1889,20210102,1
7751,20210109,1
7751,20210116,1
7751,20201219,1
7751,20201225,1
7751,20201226,1
7751,20210101,1
7751,20210102,1
3455,20210123,2
3455,20210124,2
7752,20210108,1
7752,20201224,1
7752,20201231,1
7752,20201218,1
7752,20210219,1
7759,20201225,1
7759,20210101,1
7759,20210123,2
3331,20201225,1
3331,20210101,1
3331,20210123,2
3331,20210124,2
3332,20210123,1
3332,20210124,1
3332,20201218,1
7772,20201225,2
7772,20210101,2
145,20201128,1
2918,20201126,2
195,20201129,1
177,20201128,1
181,20201129,1
3269,20201128,2
988,20201125,1
3515,20201128,2
4216,20201129,1
2407,20201127,2
190,20201128,2
190,20201129,2
1680,20201126,1
3361,20201128,2
1226,20201128,2
3453,20201128,2
3453,20201129,2
241,20201128,2
241,20201129,2
378,20201225,1
378,20210101,1
3915,20201225,1
3915,20210101,1
297,20201224,2
297,20201231,2
2712,20201221,1
2712,20201222,1
2712,20201223,1
2712,20201224,1
6777,20201225,1
6777,20210101,1
6778,20201225,2
6778,20210101,2
2711,20210101,2
2711,20201221,2
2711,20201222,2
2711,20201223,2
2711,20201224,2
2711,20201225,2
6753,20201129,1
607,20201126,2
607,20201127,2
6769,20201126,2
6769,20201127,2
6769,20201128,2
6769,20201129,2
596,20201224,1
596,20201231,1
6673,20201221,2
6673,20201222,2
6673,20201223,2
6673,20201224,2
6673,20201228,2
6673,20201229,2
6673,20201230,2
6673,20201231,2
6673,20210208,2
6673,20210209,2
6673,20210210,2
6673,20210211,2
6673,20210215,2
6673,20210216,2
6673,20210217,2
6673,20210218,2
3623,20201221,2
3623,20201222,2
3623,20201223,2
3623,20201224,2
2200,20201207,1
6757,20201218,1
6757,20201221,1
6757,20201222,1
6757,20201223,1
6757,20201224,1
6757,20201225,1
6757,20201228,1
6757,20201229,1
6757,20201230,1
6757,20201231,1
6757,20210101,1
285,20201224,1
285,20201231,1
285,20201225,2
285,20210101,2
3846,20201218,1
3846,20201221,1
3846,20201222,1
3846,20201223,1
3846,20201224,1
3846,20201225,1
3846,20201228,1
3846,20201229,1
3846,20201230,1
3846,20201231,1
3846,20210101,1
6683,20201221,1
6683,20201222,1
6683,20201223,1
6683,20201224,1
6683,20201225,1
6683,20201228,1
6683,20201229,1
6683,20201230,1
6683,20201231,1
6683,20210101,1
6683,20201218,1
3504,20201207,1
7314,20201213,1
7314,20201217,1
3847,20201218,2
3847,20201221,2
3847,20201222,2
3847,20201223,2
3847,20201224,2
3847,20201225,2
3847,20201228,2
3847,20201229,2
3847,20201230,2
3847,20201231,2
3847,20210101,2
435,20201225,2
435,20210101,2
4524,20201224,2
4524,20201231,2
6591,20201221,2
6591,20201222,2
6591,20201223,2
6591,20201224,2
6591,20201225,2
6591,20201228,2
6591,20201229,2
6591,20201230,2
6591,20201231,2
6591,20210101,2
6591,20210208,2
6591,20210209,2
6591,20210210,2
6591,20210211,2
6591,20210212,2
6591,20210215,2
6591,20210216,2
6591,20210217,2
6591,20210218,2
6591,20210219,2
1574,20201225,2
1574,20210101,2
1820,20201225,1
1820,20210101,1
1573,20201225,2
1573,20210101,2
3214,20201225,2
3214,20210101,2
6660,20201214,1
6660,20201215,1
6660,20201216,1
6660,20201217,1
6660,20201218,1
6660,20201221,1
6660,20201222,1
6660,20201223,1
6660,20201224,1
6660,20201225,1
6660,20201228,1
6660,20201229,1
6660,20201230,1
6660,20201231,1
6660,20210101,1
6660,20210104,1
6660,20210105,1
6660,20210106,1
6660,20210107,1
6660,20210108,1
6656,20201225,2
6656,20210101,2
1551,20201221,2
1551,20201222,2
1551,20201223,2
1551,20201224,2
1551,20201225,2
1551,20201228,2
1551,20201229,2
1551,20201230,2
1551,20201231,2
1551,20210101,2
1551,20210208,2
1551,20210209,2
1551,20210210,2
1551,20210211,2
1551,20210212,2
1551,20210215,2
1551,20210216,2
1551,20210217,2
1551,20210218,2
1551,20210219,2
5006,20210212,1
5006,20201221,1
5006,20201222,1
5006,20201223,1
5006,20201224,1
5006,20201228,1
5006,20201229,1
5006,20201230,1
5006,20201231,1
5006,20210215,1
5006,20210216,1
5006,20210217,1
5006,20210218,1
5006,20210219,1
5006,20210220,1
3774,20210222,1
3774,20201225,1
3774,20201226,1
3774,20201227,1
3774,20210101,1
3774,20210102,1
3774,20210103,1
3774,20201213,1
3774,20201214,1
3774,20201215,1
3774,20201216,1
3774,20201217,1
3774,20201218,1
3774,20201219,1
3774,20201220,1
3774,20210104,1
3774,20210105,1
3774,20210106,1
3774,20210107,1
3774,20210108,1
3774,20210109,1
3774,20210110,1
3774,20210111,1
3774,20210112,1
3774,20210113,1
3774,20210114,1
3774,20210115,1
3774,20210116,1
3774,20210117,1
3774,20210118,1
3774,20210119,1
3774,20210120,1
3774,20210121,1
3774,20210122,1
3774,20210123,1
3774,20210124,1
3774,20210125,1
3774,20210126,1
3774,20210127,1
3774,20210128,1
3774,20210129,1
3774,20210130,1
3774,20210131,1
3774,20210201,1
3774,20210202,1
3774,20210203,1
3774,20210204,1
3774,20210205,1
3774,20210206,1
3774,20210207,1
3774,20210212,2
3774,20210219,2
3774,20201221,2
3774,20201222,2
3774,20201223,2
3774,20201224,2
3774,20201228,2
3774,20201229,2
3774,20201230,2
3774,20201231,2
1824,20201221,1
1824,20201222,1
1824,20201223,1
1824,20201224,1
1824,20201225,1
1824,20201228,1
1824,20201229,1
1824,20201230,1
1824,20201231,1
1824,20210101,1
1824,20210208,1
1824,20210209,1
1824,20210210,1
1824,20210211,1
1824,20210212,1
1824,20210215,1
1824,20210216,1
1824,20210217,1
1824,20210218,1
1824,20210219,1
5005,20210222,1
5005,20201225,1
5005,20201227,1
5005,20210101,1
5005,20210103,1
5005,20201213,1
5005,20201214,1
5005,20201215,1
5005,20201216,1
5005,20201217,1
5005,20201218,1
5005,20201220,1
5005,20210104,1
5005,20210105,1
5005,20210106,1
5005,20210107,1
5005,20210108,1
5005,20210110,1
5005,20210111,1
5005,20210112,1
5005,20210113,1
5005,20210114,1
5005,20210115,1
5005,20210117,1
5005,20210118,1
5005,20210119,1
5005,20210120,1
5005,20210121,1
5005,20210122,1
5005,20210124,1
5005,20210125,1
5005,20210126,1
5005,20210127,1
5005,20210128,1
5005,20210129,1
5005,20210131,1
5005,20210201,1
5005,20210202,1
5005,20210203,1
5005,20210204,1
5005,20210205,1
5005,20210207,1
5005,20210212,2
5005,20210219,2
5005,20201221,2
5005,20201222,2
5005,20201223,2
5005,20201224,2
5005,20201228,2
5005,20201229,2
5005,20201230,2
5005,20201231,2
2542,20210208,1
2542,20210209,1
2542,20210210,1
2542,20210211,1
2542,20210212,1
2542,20201221,1
2542,20201222,1
2542,20201223,1
2542,20201224,1
2542,20201228,1
2542,20201229,1
2542,20201230,1
2542,20210215,1
2542,20210216,1
2542,20210217,1
2542,20210218,1
2542,20210219,1
3343,20201225,2
3343,20210101,2
5063,20201225,1
5063,20210101,1
6662,20201225,1
6662,20210101,1
3225,20201221,1
3225,20201222,1
3225,20201223,1
3225,20201224,1
3225,20201228,1
3225,20201229,1
3225,20201230,1
3225,20201231,1
3225,20201214,1
3225,20201215,1
3225,20201216,1
3225,20201217,1
3225,20201218,1
3225,20210104,1
3225,20210105,1
3225,20210106,1
3225,20210107,1
3225,20210108,1
3225,20210111,1
3225,20210112,1
3225,20210113,1
3225,20210114,1
3225,20210115,1
3225,20210118,1
3225,20210119,1
3225,20210120,1
3225,20210121,1
3225,20210122,1
3225,20210125,1
3225,20210126,1
3225,20210127,1
3225,20210128,1
3225,20210129,1
3225,20210201,1
3225,20210202,1
3225,20210203,1
3225,20210204,1
3225,20210205,1
3225,20210209,2
3225,20210210,2
3225,20210211,2
3225,20210216,2
3225,20210217,2
3225,20210218,2
3225,20201225,2
3225,20210101,2
2085,20201225,1
2085,20210101,1
1360,20210222,1
5120,20201225,2
5120,20210101,2
6760,20201225,2
6760,20210101,2
251,20201225,1
251,20210101,1
6642,20201129,2
4582,20210201,2
4582,20210202,2
4582,20210203,2
4582,20210204,2
4582,20210205,2
4582,20210208,2
4582,20210209,2
4582,20210210,2
4582,20210211,2
4582,20210212,2
4551,20201128,2
1550,20210212,1
1550,20201221,1
1550,20201222,1
1550,20201223,1
1550,20201224,1
1550,20201228,1
1550,20201229,1
1550,20201230,1
1550,20201231,1
1550,20210215,1
1550,20210216,1
1550,20210217,1
1550,20210218,1
1550,20210219,1
3596,20201126,2
