route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
OCE156702,OCESN,"","Clermont-Fd - Lyon",,2,,,
OCE849853,OCESN,"","Ligne 32 Tram",,0,,,
OCE240747,OCESN,"","tram-train-SGS",,0,,,
OCE637148,OCESN,"","Car BUSSANG - REMIREMONT",,3,,,
OCE2002149,OCESN,"","PARIS MONTP DREUX ARGENTAN GRANVILLE",,2,,,
OCE701665,OCESN,"","BUS TER SEDAN-LA FERTE SUR CHIERS",,3,,,
OCE2002143,OCESN,"","PARIS EVREUX LISIEUX TROUVILLE/DEAUVILLE",,2,,,
OCE1506037,OCESN,"","Paris-Caen-Cherbourg/Trouville",,2,,,
OCE2002142,OCESN,"","PARIS CAEN CHERBOURG",,2,,,
OCE2102135,OCESN,"","Paris Dieppe",,2,,,
OCE1998129,OCESN,"","PARIS ROUEN LE HAVRE",,2,,,
OCE1506035,OCESN,"","Paris-Vernon-Rouen-Le Havre",,2,,,
OCE1113946,OCESN,"","Belfort - Lyon",,2,,,
OCESN-87718007-87718239,OCESN,"","Besançon-Viotte - Lons-le-Saunier",,2,,,
OCESN-87718007-87743005,OCESN,"","Besançon-Viotte - Bourg-en-Bresse",,2,,,
OCESN-87718007-87718833,OCESN,"","Besançon-Viotte - Mouchard",,2,,,
OCESN-87184002-87718239,OCESN,"","Belfort-Ville - Lons-le-Saunier",,2,,,
OCESN-87184002-87722025,OCESN,"","Belfort-Ville - Lyon-Perrache",,2,,,
OCESN-87184002-87723197,OCESN,"","Belfort-Ville - Lyon-Part-Dieu",,2,,,
OCESN-87718239-87722025,OCESN,"","Lons-le-Saunier - Lyon-Perrache",,2,,,
OCESN-87718007-87722025,OCESN,"","Besançon-Viotte - Lyon-Perrache",,2,,,
OCESN-87718007-87723197,OCESN,"","Besançon-Viotte - Lyon-Part-Dieu",,2,,,
OCE1113942,OCESN,"","Dole / Pontarlier - Besançon / Dole / St Claude",,2,,,
OCE1113941,OCESN,"","Besançon - Morteau - La Chaux de Fonds",,2,,,
OCE1113948,OCESN,"","Belfort - Delle",,2,,,
OCE1425993,OCESN,"","Belfort - Besançon",,2,,,
OCE1113943,OCESN,"","Belfort / Vesoul - Belfort / Epinal",,2,,,
OCESN-87300863-87718007,OCESN,"","Besançon-Franche-Comté - Besançon-Viotte",,2,,,
OCE1113944,OCESN,"","Besançon Viotte - Besançon TGV",,2,,,
OCE1425992,OCESN,"","Besançon - Dijon",,2,,,
OCE725906,OCESN,"","Nevers - Paray - Lyon (Multi-Activités)",,2,,,
OCE725925,OCESN,"","Decize - Nevers - Cosne",,2,,,
OCE1109941,OCESN,"","Decize - Nevers - Moulins",,2,,,
OCE717917,OCESN,"","Chalon - Montchanin - Paray",,2,,,
OCESN-87694141-87696005,OCESN,"","Etang - Nevers",,2,,,
OCE725927,OCESN,"","Autun - Nevers",,2,,,
OCE726008,OCESN,"","Dijon - Nevers",,2,,,
OCESN-87713040-87694141,OCESN,"","Dijon-Ville - Etang",,2,,,
OCESN-87713040-87696005,OCESN,"","Dijon-Ville - Nevers",,2,,,
OCE725926,OCESN,"","Autun - Dijon",,2,,,
OCE725913,OCESN,"","Paris Bercy - Auxerre - Morvan",,2,,,
OCE725921,OCESN,"","Dijon - Chalon - Mâcon",,2,,,
OCE909879,OCESN,"","Is-sur-Tille - Dijon - Les-Laumes",,2,,,
OCE725919,OCESN,"","Dijon - Bourg en Bresse (Multi-Activités)",,2,,,
OCE873849,OCESN,"","Auxerre - Dijon",,2,,,
OCE873850,OCESN,"","Laroche - Dijon",,2,,,
