route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCE156702,6840,OCESN875708F1201281415,"875708",0,,
OCE156702,6837,OCESN875708F0600681414,"875708",0,,
OCE156702,240,OCESN875702F1501581405,"875702",0,,
OCE156702,6829,OCESN875718F0500581426,"875718",0,,
OCE156702,61,OCESN875702F1001081404,"875702",0,,
OCE156702,313,OCESN875716F1101181423,"875716",0,,
OCE156702,3869,OCESN875716F0600681425,"875716",0,,
OCE156702,818,OCESN875718F1001081428,"875718",0,,
OCE156702,511,OCESN875720F1301381429,"875720",0,,
OCE156702,685,OCESN875720F0500581432,"875720",0,,
OCE156702,818,OCESN875712F1201281420,"875712",0,,
OCE156702,6844,OCESN875710F0900981417,"875710",0,,
OCE156702,6458,OCESN875712F0600681421,"875712",0,,
OCE156702,6837,OCESN875704F0500581410,"875704",0,,
OCE156702,7539,OCESN875710F05005~TER95187,"875710",0,,
OCE156702,5019,OCESN875708F1001081411,"875708",0,,
OCE156702,6836,OCESN875700F0900981400,"875700",0,,
OCE156702,6838,OCESN875704F1401481409,"875704",0,,
OCE156702,592,OCESN875700F1301381401,"875700",0,,
OCE156702,240,OCESN875746F1101181459,"875746",0,,
OCE156702,313,OCESN875744F1101181455,"875744",0,,
OCE156702,592,OCESN875730F1501581433,"875730",0,,
OCE156702,7141,OCESN875748F0800881461,"875748",0,,
OCE156702,1024,OCESN875748F1301381462,"875748",0,,
OCE156702,4349,OCESN875736F1801881442,"875736",0,,
OCE156702,7156,OCESN875734F1201281438,"875734",0,,
OCE156702,7157,OCESN875734F1701781437,"875734",0,,
OCE156702,2722,OCESN875744F0800881457,"875744",0,,
OCE156702,7246,OCESN875730F2102181434,"875730",0,,
OCE156702,61,OCESN875746F0500581458,"875746",0,,
OCE156702,313,OCESN875736F1001081440,"875736",0,,
OCE156702,3869,OCESN875742F1701781450,"875742",0,,
OCE156702,7076,OCESN875740F0800881448,"875740",0,,
OCE156702,313,OCESN875740F1301381447,"875740",0,,
OCE156702,313,OCESN875742F1201281452,"875742",0,,
OCE849853,7540,OCESN832501F0500565921,"832501",1,,
OCE849853,7541,OCESN832501F05005~TER95179,"832501",1,,
OCE849853,7542,OCESN832505F05005~TER95182,"832505",1,,
OCE849853,7543,OCESN832503F05005~TER95181,"832503",1,,
OCE849853,721,OCESN832507F0400465934,"832507",1,,
OCE849853,7544,OCESN832505F0500565929,"832505",1,,
OCE849853,134,OCESN832505F0200265930,"832505",1,,
OCE849853,134,OCESN832501F0200265922,"832501",1,,
OCE849853,7545,OCESN832503F0500565925,"832503",1,,
OCE849853,134,OCESN832500F0200265920,"832500",0,,
OCE849853,7546,OCESN832500F05005~TER95178,"832500",0,,
OCE849853,7547,OCESN832500F0500565919,"832500",0,,
OCE849853,721,OCESN832514F0500565942,"832514",0,,
OCE849853,134,OCESN832514F0200265941,"832514",0,,
OCE849853,7548,OCESN832502F05005~TER95180,"832502",0,,
OCE849853,134,OCESN832512F0200265940,"832512",0,,
OCE849853,7549,OCESN832502F0500565923,"832502",0,,
