trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN008827F3803886352,21:01:00,21:01:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008827F3803886352,22:23:00,22:23:00,StopPoint:OCETGV INOUI-87484006,1,"",0,0,
OCESN008827F38038-14103114001,21:01:00,21:01:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008827F38038-14103114001,22:23:00,22:23:00,StopPoint:OCETGV INOUI-87484006,1,"",0,0,
OCESN008827F38038-14103~TGA114917,21:01:00,21:01:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008827F38038-14103~TGA114917,22:23:00,22:23:00,StopPoint:OCETGV-87484006,1,"",0,0,
OCESN008937F0600641873,20:43:00,20:43:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008937F0600641873,22:05:00,22:08:00,StopPoint:OCETGV INOUI-87484006,1,"",0,0,
OCESN008937F0600641873,22:45:00,22:49:00,StopPoint:OCETGV INOUI-87481002,2,"",0,0,
OCESN008937F0600641873,23:24:00,23:27:00,StopPoint:OCETGV INOUI-87481705,3,"",0,0,
OCESN008937F0600641873,23:41:00,23:45:00,StopPoint:OCETGV INOUI-87481754,4,"",0,0,
OCESN008937F0600641873,23:54:00,23:54:00,StopPoint:OCETGV INOUI-87481788,5,"",0,0,
OCESN008921F15015~TGF114245,12:44:00,12:44:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008921F15015~TGF114245,14:06:00,14:13:00,StopPoint:OCETGV INOUI-87484006,1,"",0,0,
OCESN008921F15015~TGF114245,14:50:00,14:54:00,StopPoint:OCETGV INOUI-87481002,2,"",0,0,
OCESN008921F15015~TGF114245,15:29:00,15:32:00,StopPoint:OCETGV INOUI-87481705,3,"",0,0,
OCESN008921F15015~TGF114245,15:46:00,15:50:00,StopPoint:OCETGV INOUI-87481754,4,"",0,0,
OCESN008921F15015~TGF114245,15:59:00,15:59:00,StopPoint:OCETGV INOUI-87481788,5,"",0,0,
OCESN008931F24024~TGF114723,18:44:00,18:44:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008931F24024~TGF114723,19:48:00,19:50:00,StopPoint:OCETGV INOUI-87396408,1,"",0,0,
OCESN008931F24024~TGF114723,20:10:00,20:13:00,StopPoint:OCETGV INOUI-87484006,2,"",0,0,
OCESN008931F24024~TGF114723,20:49:00,20:54:00,StopPoint:OCETGV INOUI-87481002,3,"",0,0,
OCESN008931F24024~TGF114723,21:29:00,21:32:00,StopPoint:OCETGV INOUI-87481705,4,"",0,0,
OCESN008931F24024~TGF114723,21:46:00,21:50:00,StopPoint:OCETGV INOUI-87481754,5,"",0,0,
OCESN008931F24024~TGF114723,21:59:00,21:59:00,StopPoint:OCETGV INOUI-87481788,6,"",0,0,
OCESN008917F1401449794,10:38:00,10:38:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008917F1401449794,11:34:00,11:37:00,StopPoint:OCETGV INOUI-87396002,1,"",0,0,
OCESN008917F1401449794,12:14:00,12:17:00,StopPoint:OCETGV INOUI-87484006,2,"",0,0,
OCESN008917F1401449794,12:54:00,12:58:00,StopPoint:OCETGV INOUI-87481002,3,"",0,0,
OCESN008917F1401449794,13:33:00,13:36:00,StopPoint:OCETGV INOUI-87481705,4,"",0,0,
OCESN008917F1401449794,13:46:00,13:48:00,StopPoint:OCETGV INOUI-87481747,5,"",0,0,
OCESN008917F1401449794,13:53:00,14:00:00,StopPoint:OCETGV INOUI-87481754,6,"",0,0,
OCESN008917F1401449794,14:03:00,14:06:00,StopPoint:OCETGV INOUI-87481762,7,"",0,0,
OCESN008917F1401449794,14:12:00,14:12:00,StopPoint:OCETGV INOUI-87481788,8,"",0,0,
OCESN008931F26026~TGF114721,18:44:00,18:44:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008931F26026~TGF114721,19:48:00,19:50:00,StopPoint:OCETGV INOUI-87396408,1,"",0,0,
OCESN008931F26026~TGF114721,20:10:00,20:13:00,StopPoint:OCETGV INOUI-87484006,2,"",0,0,
OCESN008931F26026~TGF114721,20:50:00,20:54:00,StopPoint:OCETGV INOUI-87481002,3,"",0,0,
