service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
8039,0,1,1,0,0,0,0,20201117,20201125
8040,1,0,0,1,0,0,0,20201116,20201126
467,0,0,0,0,1,0,0,20201106,20201211
8041,0,0,0,0,1,0,0,20201106,20201211
249,0,0,0,0,0,1,0,20201107,20201212
8043,1,1,1,1,0,0,0,20201102,20201210
8044,1,1,1,1,0,0,0,20201102,20201210
8045,1,1,1,1,0,1,1,20201102,20201212
1418,0,0,0,0,1,0,0,20201106,20201113
1265,0,0,0,0,1,0,0,20201120,20201211
8046,0,0,0,0,0,1,0,20201107,20201205
8047,0,0,0,0,1,1,1,20201106,20201211
8048,0,0,0,0,0,0,1,20201108,20201206
8049,0,0,0,0,1,0,0,20201106,20201211
8050,0,1,1,1,1,0,0,20201103,20201211
8051,0,0,0,0,0,0,1,20201108,20201206
8052,1,1,1,1,0,0,0,20201102,20201210
8053,1,1,1,1,0,0,0,20201102,20201210
8054,1,0,0,0,0,0,0,20201102,20201207
8056,1,1,1,1,0,0,0,20201102,20201210
8057,1,1,1,1,0,0,0,20201102,20201210
8058,0,0,0,0,1,0,0,20201120,20201204
8059,0,0,0,0,0,0,1,20201108,20201206
8060,0,0,0,0,0,1,0,20201107,20201205
8062,0,0,0,0,1,1,1,20201106,20201211
8064,1,0,0,0,0,0,0,20201102,20201109
8065,0,0,0,0,1,0,0,20201106,20201211
8066,0,1,1,1,1,0,0,20201103,20201211
8067,1,1,1,1,0,1,0,20201102,20201212
8068,1,0,0,0,1,0,1,20201102,20201211
4217,0,0,0,1,0,0,0,20201105,20201210
8069,1,0,0,0,0,0,0,20201102,20201207
8070,1,0,0,0,0,0,0,20201116,20201207
172,0,1,1,1,1,0,0,20201103,20201211
8071,0,0,0,0,1,1,0,20201106,20201212
8072,0,1,1,1,0,1,1,20201103,20201212
8073,1,1,1,0,0,0,0,20201102,20201209
8074,0,1,1,1,0,0,0,20201103,20201210
8075,0,1,1,1,0,1,0,20201103,20201212
2,0,0,0,0,0,0,1,20201108,20201206
8076,1,0,0,1,0,0,0,20201102,20201115
1550,0,0,0,0,1,0,1,20201120,20201211
8077,0,0,0,0,1,0,1,20201106,20201115
8078,1,0,0,0,0,0,0,20201102,20201207
8079,1,0,0,0,1,0,1,20201102,20201211
8080,0,1,1,1,0,0,0,20201103,20201112
8081,1,0,0,0,1,0,0,20201102,20201211
8082,1,0,0,0,0,0,0,20201109,20201207
8083,0,1,1,1,0,0,0,20201117,20201210
8084,0,0,0,1,1,0,0,20201105,20201211
8085,1,1,1,1,0,0,0,20201102,20201210
8087,0,1,1,1,0,0,1,20201103,20201210
8088,0,0,0,0,0,0,1,20201108,20201206
8089,1,0,0,0,0,0,0,20201102,20201207
829,1,1,1,1,1,0,0,20201116,20201211
5889,1,1,1,1,0,0,1,20201102,20201210
1818,1,1,1,1,1,0,0,20201102,20201113
8090,0,1,1,1,1,0,0,20201103,20201211
236,0,0,0,0,0,0,1,20201122,20201206
8091,0,0,0,0,1,0,0,20201120,20201211
184,0,0,0,0,0,0,1,20201108,20201115
8092,1,1,1,1,0,0,0,20201102,20201112
8093,1,1,1,1,0,0,0,20201116,20201210
8094,0,0,0,0,1,1,1,20201106,20201115
8095,1,0,0,0,0,1,1,20201102,20201212
8096,0,0,0,0,1,1,1,20201120,20201212
8097,1,1,1,1,0,1,1,20201102,20201212
8098,1,0,0,0,0,0,0,20201102,20201207
