service_id,date,exception_type
8038,20201124,1
8039,20201124,2
8042,20201111,1
8043,20201111,2
567,20201212,1
1755,20201105,1
8052,20201111,2
8052,20201105,2
8053,20201111,2
8055,20201111,1
8057,20201111,2
8061,20201211,1
8063,20201201,1
8063,20201202,1
8063,20201103,1
8063,20201104,1
8063,20201208,1
8063,20201209,1
8065,20201110,1
8065,20201111,1
8066,20201111,2
437,20201111,1
8076,20201130,1
8076,20201203,1
8076,20201207,1
8076,20201210,1
8080,20201111,2
8085,20201111,2
8086,20201102,1
8099,20201111,2
8102,20201111,1
2909,20201111,2
8112,20201106,2
238,20201108,1
8114,20201111,1
8115,20201106,1
8118,20201115,1
8121,20201111,2
6036,20201114,1
6036,20201107,1
8124,20201111,2
191,20201102,1
8134,20201105,1
8140,20201113,1
8140,20201106,1
8140,20201108,2
8141,20201120,1
8144,20201104,1
8144,20201105,2
8153,20201218,1
8153,20201219,1
8153,20201224,1
8153,20201225,1
8153,20201226,1
8153,20201231,1
8153,20210101,1
8153,20210102,1
326,20201218,1
326,20201224,1
326,20201231,1
564,20201218,1
410,20201217,1
410,20201215,1
410,20201216,1
410,20201222,1
410,20201223,1
410,20201229,1
410,20201230,1
8158,20201217,1
8158,20201215,1
8158,20201216,1
8158,20201222,1
8158,20201223,1
8158,20201229,1
8158,20201230,1
8159,20201224,2
8159,20201231,2
1591,20201218,1
8161,20201224,1
8161,20201231,1
8163,20201218,1
8163,20201217,2
1824,20201225,2
8164,20201224,2
8164,20201231,2
1593,20201224,2
8167,20201225,2
8167,20210101,2
8168,20201218,1
8168,20201224,1
8168,20201231,1
8170,20201218,1
8170,20201224,1
8170,20201231,1
8171,20201217,1
8171,20201218,2
8172,20201225,1
8172,20210101,1
8172,20201224,2
8172,20201231,2
8174,20201225,1
8174,20210101,1
8175,20201218,1
8175,20201217,2
8177,20201218,1
8177,20201224,1
8177,20201231,1
8178,20201217,1
8178,20201218,2
8182,20201225,1
8182,20210101,1
8182,20201224,2
8182,20201231,2
8185,20201218,1
8185,20201217,2
240,20201107,1
3194,20201107,2
1895,20201201,1
1912,20201116,1
8188,20201107,2
3095,20201113,1
3095,20201111,2
6324,20201114,2
6324,20201115,2
8189,20201104,1
8189,20201116,1
8190,20201116,2
8190,20201104,2
8193,20201111,2
5798,20201107,2
5798,20201206,2
6422,20201107,2
3347,20201107,2
3347,20201108,2
1893,20201106,1
3343,20201116,1
3342,20201102,1
3342,20201103,1
3342,20201104,1
3342,20201105,1
3342,20201106,1
3342,20201109,1
3342,20201110,1
3342,20201111,1
3342,20201112,1
3342,20201113,1
3342,20201116,2
271,20201114,1
5139,20201106,2
270,20201115,1
6354,20201106,2
6354,20201107,2
5576,20201116,2
6391,20201113,2
21,20201206,1
8198,20201128,1
293,20201204,1
6439,20201102,1
6439,20201103,1
6439,20201104,1
6439,20201105,1
6439,20201106,1
6439,20201130,1
6439,20201201,1
6439,20201202,1
6439,20201203,1
6439,20201204,1
6439,20201207,1
6439,20201208,1
6439,20201209,1
6439,20201210,1
6439,20201211,1
4195,20201211,1
150,20201113,1
6372,20201110,2
6372,20201111,2
6372,20201106,2
6372,20201107,2
8200,20201225,2
8200,20210101,2
8201,20201218,1
1186,20201225,2
1186,20210101,2
4204,20210123,1
4204,20210124,1
4204,20201213,1
7096,20210123,2
7096,20210124,2
1244,20210124,1
1244,20201213,1
8206,20201225,1
8206,20210101,1
8207,20201218,1
8207,20201215,1
8207,20201216,1
8207,20201217,1
8207,20201222,1
8207,20201223,1
8207,20201224,1
8207,20201229,1
8207,20201230,1
8207,20201231,1
8209,20201217,1
8209,20201215,1
8209,20201216,1
8209,20201222,1
8209,20201223,1
8209,20201229,1
8209,20201230,1
8211,20201217,1
8211,20201215,1
8211,20201216,1
8211,20201222,1
8211,20201223,1
8211,20201229,1
8211,20201230,1
8215,20201225,1
8215,20210101,1
8216,20201224,2
8216,20201231,2
8217,20201224,2
8217,20201231,2
8218,20201218,1
8219,20201224,1
8219,20201231,1
1284,20201219,1
1284,20201225,1
1284,20201226,1
1284,20210101,1
1284,20210102,1
511,20201225,1
511,20210101,1
511,20201224,2
511,20201231,2
8220,20201217,1
8220,20201215,1
8220,20201216,1
8220,20201222,1
8220,20201223,1
8220,20201229,1
8220,20201230,1
8221,20201218,1
2489,20201218,1
2489,20201224,1
2489,20201231,1
8224,20201224,2
8224,20201231,2
1272,20201224,1
1272,20201231,1
1272,20201225,2
1272,20210101,2
8225,20201218,2
406,20201224,2
406,20201231,2
2024,20201224,1
2024,20201231,1
8228,20201224,1
8228,20201231,1
8229,20201224,2
8229,20201231,2
3657,20201218,1
3657,20201217,2
1142,20201225,2
1142,20210101,2
6004,20201111,2
2035,20201111,2
8234,20201111,2
6111,20201111,2
4835,20201110,2
4835,20201111,2
1391,20201111,2
6125,20201109,2
6125,20201111,2
6125,20201112,2
6125,20201104,2
6125,20201105,2
5968,20201109,2
5968,20201110,2
5968,20201112,2
5968,20201113,2
8250,20201112,1
6066,20201112,1
1585,20201110,2
8258,20201111,2
1652,20201108,1
1907,20201110,1
8260,20201111,1
6136,20201108,1
1613,20201111,2
6137,20201111,2
275,20201114,2
2935,20201105,2
2935,20201106,2
6110,20201111,2
6095,20201206,2
8270,20201108,1
2718,20201111,2
8277,20201111,2
8278,20201108,2
8282,20201106,1
8284,20201110,1
8284,20201109,2
5445,20201122,2
8286,20201114,2
2867,20201111,2
6226,20201111,2
5446,20201122,1
8287,20201113,1
8288,20201111,1
8288,20201107,1
8288,20201114,2
8289,20201121,1
8289,20201114,1
971,20201120,1
6225,20201120,2
8291,20201109,1
8291,20201110,2
3326,20201111,2
8295,20201121,2
8295,20201122,2
179,20201107,1
6146,20201121,2
8296,20201108,1
4001,20201111,2
133,20201121,1
3791,20201108,1
3790,20201202,2
6134,20201114,1
6134,20201115,1
6134,20201111,2
6131,20201111,1
6133,20201123,2
6133,20201124,2
6133,20201125,2
6133,20201126,2
6133,20201127,2
1904,20201103,1
8316,20201111,2
8318,20201107,1
7201,20201111,2
8324,20201206,1
6139,20201130,1
6139,20201201,1
6139,20201202,1
6139,20201203,1
6139,20201207,1
6139,20201208,1
6139,20201209,1
6139,20201210,1
8332,20201108,1
7207,20201104,1
7207,20201105,2
7207,20201106,2
8334,20201111,2
8339,20201115,1
8340,20201226,1
8340,20210102,1
8340,20201225,2
8340,20210101,2
8342,20201219,1
8342,20201225,1
8342,20210101,1
902,20201102,1
8344,20210129,1
8345,20201218,1
8345,20201224,1
8345,20201231,1
8346,20210129,1
8347,20201224,2
8347,20201231,2
8348,20201225,1
8348,20210101,1
8350,20210129,2
6364,20201130,1
6364,20201201,1
6364,20201202,1
6364,20201203,1
6364,20201204,1
6364,20201206,1
6364,20201207,1
6364,20201208,1
6364,20201209,1
6364,20201210,1
6364,20201211,1
6364,20201120,1
6364,20201122,1
6364,20201127,1
6364,20201129,1
2311,20201123,2
2311,20201124,2
2311,20201125,2
2311,20201126,2
2311,20201127,2
7413,20201111,2
8352,20201122,1
8353,20201111,1
8355,20201108,1
8357,20201107,1
8358,20201121,1
8359,20201108,1
8360,20201121,1
8361,20201122,1
8363,20201114,2
5607,20201111,2
5600,20201108,1
4833,20201224,2
4833,20201231,2
6205,20210124,1
8367,20201225,2
8367,20210101,2
2933,20201219,1
2933,20201225,1
2933,20201226,1
2933,20210101,1
2933,20210102,1
2937,20201225,2
2937,20210101,2
2028,20201225,2
2028,20210101,2
6207,20201213,1
6207,20201218,1
6207,20201220,1
6207,20201224,1
6207,20201227,1
6207,20201231,1
6207,20210103,1
6207,20210124,2
8369,20201225,2
5036,20201218,1
8372,20201218,2
1993,20201225,2
1993,20210101,2
3448,20201218,1
3448,20201217,2
8376,20201218,1
8376,20201224,1
8376,20201231,1
5941,20201218,1
5941,20201224,1
5941,20201231,1
1333,20201225,2
1333,20210101,2
8377,20201219,1
8377,20201225,1
8377,20201226,1
8377,20210101,1
8377,20210102,1
1150,20201225,2
8379,20201218,1
8379,20201224,1
8379,20201231,1
8384,20201224,1
8384,20201231,1
8387,20201224,2
8387,20201231,2
8388,20201217,1
8390,20201217,1
8390,20201215,1
8390,20201216,1
8390,20201222,1
8390,20201223,1
8390,20201229,1
8390,20201230,1
8391,20201218,1
8395,20201225,1
8395,20210101,1
8396,20201218,1
8397,20201217,1
8398,20201224,2
8398,20201231,2
8399,20201218,1
8399,20201219,1
8399,20201224,1
8399,20201225,1
8399,20201226,1
8399,20201231,1
8399,20210101,1
8399,20210102,1
8401,20201225,1
8401,20210101,1
8402,20201219,1
8402,20201225,1
8402,20201226,1
8402,20210101,1
8402,20210102,1
8403,20201225,2
8404,20201218,1
8404,20201224,1
8404,20201231,1
8405,20201218,1
8405,20201224,1
8405,20201231,1
8406,20201225,2
8409,20201218,1
8409,20201217,2
8410,20201218,1
8412,20201225,2
8412,20210101,2
8415,20201217,1
8415,20201215,1
8415,20201216,1
8415,20201222,1
8415,20201223,1
8415,20201229,1
8415,20201230,1
8417,20201224,1
8417,20201231,1
8417,20201225,2
8417,20210101,2
499,20201225,1
499,20210101,1
8418,20201224,2
8418,20201231,2
8419,20201224,2
8419,20201231,2
8420,20201217,1
8425,20201218,1
8425,20201219,1
8425,20201224,1
8425,20201225,1
8425,20201226,1
8425,20201231,1
8425,20210101,1
8425,20210102,1
8427,20201217,1
8429,20201224,1
8429,20201231,1
8429,20201225,2
8429,20210101,2
8430,20201218,1
8434,20201218,2
8438,20201217,1
8438,20201215,1
8438,20201216,1
8438,20201222,1
8438,20201223,1
8438,20201229,1
8438,20201230,1
8441,20201218,1
8441,20201217,2
2310,20201224,2
2310,20201231,2
4037,20201224,1
4037,20201231,1
4037,20201225,2
4037,20210101,2
8442,20201224,2
8442,20201231,2
2271,20201224,2
2271,20201231,2
5012,20201225,2
5012,20210101,2
6685,20201224,1
6685,20201231,1
6685,20201225,2
6685,20210101,2
2367,20201218,1
2367,20201219,1
2367,20201224,1
2367,20201225,1
2367,20201226,1
2367,20201231,1
2367,20210101,1
2367,20210102,1
336,20201225,2
336,20210101,2
5513,20201218,1
5513,20201224,1
5513,20201231,1
8444,20201224,1
8444,20201231,1
5400,20201225,2
5400,20210101,2
6884,20201225,2
6884,20210101,2
6579,20201205,1
846,20201128,1
8447,20201203,2
3032,20201129,2
1353,20201129,1
6516,20201117,2
1892,20201117,1
945,20201128,2
6592,20201129,2
6563,20201111,1
6563,20201206,1
710,20201111,2
862,20201128,2
2157,20201128,2
2157,20201129,2
8449,20201207,1
8450,20201129,2
8452,20201113,1
8453,20201113,2
8456,20201206,1
8457,20201109,1
8457,20201112,2
8458,20201108,1
8459,20201112,1
8459,20201103,1
8459,20201109,2
2539,20201128,2
8462,20201104,2
8462,20201128,2
8462,20201129,2
4509,20201128,2
8463,20201104,1
8464,20201114,1
8465,20201121,1
8465,20201107,1
5230,20201128,2
8466,20201128,2
8467,20201102,1
8467,20201109,1
8467,20201110,1
8467,20201104,2
8467,20201113,2
8468,20201113,1
8468,20201104,1
8468,20201109,2
8468,20201110,2
8469,20201128,1
8470,20201129,1
6519,20201128,2
6519,20201129,2
8471,20201129,2
3107,20201128,2
3107,20201129,2
8477,20210119,2
8477,20210120,2
8477,20210121,2
8477,20210122,2
8478,20201225,2
5149,20201225,2
5149,20210101,2
8480,20201106,1
8480,20201112,2
8481,20201112,1
8481,20201105,1
8481,20201106,2
1767,20201107,1
8484,20201122,1
1354,20201108,1
8488,20201121,1
8489,20201206,1
132,20201122,1
8490,20201109,2
1777,20201122,2
8491,20201109,1
5714,20201128,2
5714,20201129,2
8492,20201113,1
8492,20201106,1
8492,20201107,2
8493,20201107,1
8493,20201113,2
8494,20201114,2
8494,20201108,2
8496,20201111,2
8498,20201108,1
8501,20201105,1
8503,20201103,1
8503,20201104,1
8503,20201105,2
8504,20201110,1
8504,20201105,1
8505,20201104,1
8505,20201209,1
8505,20201110,2
8505,20201105,2
4403,20201128,2
4403,20201129,2
8506,20201106,1
8506,20201112,2
8507,20201112,1
8507,20201105,1
8507,20201106,2
8508,20201113,1
8508,20201106,1
8508,20201107,2
8509,20201107,1
8509,20201113,2
389,20201111,2
342,20201111,2
4261,20201111,1
8510,20201111,2
8510,20201112,2
8511,20201112,1
248,20201111,1
573,20201111,2
1603,20201111,2
2355,20201111,2
6500,20201111,2
1660,20201111,2
8518,20201111,2
8519,20201111,1
4611,20201218,1
8524,20201218,1
3105,20201214,1
3105,20201215,1
3105,20201216,1
3105,20201217,1
3105,20201218,1
3105,20201221,1
3105,20201222,1
3105,20201223,1
3105,20201224,1
3105,20201228,1
3105,20201229,1
3105,20201230,1
3105,20201231,1
3688,20201214,1
3688,20201215,1
3688,20201216,1
3688,20201217,1
3688,20201218,1
3688,20201221,1
3688,20201222,1
3688,20201223,1
3688,20201224,1
3688,20201228,1
3688,20201229,1
3688,20201230,1
3688,20201231,1
5271,20201217,1
5271,20201218,1
5271,20210118,1
5271,20210119,1
5271,20210120,1
5271,20210121,1
5271,20210122,1
1759,20201225,2
1759,20210101,2
8526,20201219,1
5366,20201214,1
5366,20201215,1
5366,20201216,1
5366,20201217,1
5366,20201218,1
5366,20201221,1
5366,20201222,1
5366,20201223,1
5366,20201224,1
5366,20201228,1
5366,20201229,1
5366,20201230,1
5366,20201231,1
4079,20210130,1
5049,20210130,1
2419,20210130,1
4064,20210130,1
4926,20201214,1
4926,20201215,1
4926,20201216,1
4926,20201217,1
4926,20201218,1
4926,20201221,1
4926,20201222,1
4926,20201223,1
4926,20201224,1
4926,20201228,1
4926,20201229,1
4926,20201230,1
4926,20201231,1
6504,20201214,1
6504,20201215,1
6504,20201216,1
6504,20201217,1
6504,20201218,1
6504,20201221,1
6504,20201222,1
6504,20201223,1
6504,20201228,1
6504,20201229,1
6504,20201230,1
3896,20210130,1
924,20201221,2
924,20201222,2
924,20201223,2
924,20201224,2
924,20201228,2
924,20201229,2
924,20201230,2
924,20201231,2
8527,20201225,2
8527,20210101,2
8528,20201213,1
8529,20201219,1
8529,20201225,1
8529,20201226,1
