route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
OCE40,OCESN,"","PAYS DE LOIRE",,2,,,
OCE151,OCESN,"","Paris <> Vallée du Rhône",,2,,,
OCESN-87391003-87478107,OCESN,"","Paris-Montparnasse 1-2 - St-Malo",,2,,,
OCESN-87481788-87391003,OCESN,"","Le Croisic - Paris-Montparnasse 1-2",,2,,,
OCE1209972,OCESN,"","Paris<>Strasbourg/Alsace Allemagne",,2,,,
OCESN-87182014-87113001,OCESN,"","Colmar - Paris-Est",,2,,,
OCESN-87485003-87391003,OCESN,"","La Rochelle-Ville - Paris-Montparnasse 1-2",,2,,,
OCE137,OCESN,"","AQUITAINE",,2,,,
OCESN-87581009-87212027,OCESN,"","Bordeaux-St-Jean - Strasbourg",,2,,,
OCE133,OCESN,"","Est<>Atlantique",,2,,,
OCESN-87391003-87575001,OCESN,"","Paris-Montparnasse 1-2 - Poitiers",,2,,,
OCESN-87481002-87391003,OCESN,"","Nantes - Paris-Montparnasse 1-2",,2,,,
OCESN-87781005-87686006,OCESN,"","Béziers - Paris-Gare-de-Lyon",,2,,,
OCESN-87686006-87784009,OCESN,"","Paris-Gare-de-Lyon - Perpignan",,2,,,
OCE127,OCESN,"","Intersecteurs Nord-Sud/Est",,2,,,
OCESN-87223263-87773002,OCESN,"","Lille Europe - Montpellier-Saint-Roch",,2,,,
OCESN-87223263-87751008,OCESN,"","Lille Europe - Marseille-St-Charles",,2,,,
OCE669592,OCESN,"","Creil-Melun",,2,,,
OCE136,OCESN,"","PARIS - ARRAS",,2,,,
OCESN-87271494-87481002,OCESN,"","Aéropt-C-de-Gaulle-TGV - Nantes",,2,,,
OCESN-87281006-87271007,OCESN,"","Dunkerque - Paris Gare du Nord",,2,,,
OCESN-87286005-87481002,OCESN,"","Lille Flandres - Nantes",,2,,,
OCESN-87113001-87212027,OCESN,"","Paris-Est - Strasbourg",,2,,,
OCESN-87192039-87773002,OCESN,"","Metz-Ville - Montpellier-Saint-Roch",,2,,,
OCESN-87471003-87212027,OCESN,"","Rennes - Strasbourg",,2,,,
OCESN-87391003-87474098,OCESN,"","Paris-Montparnasse 1-2 - Quimper",,2,,,
OCESN-87113001-87171009,OCESN,"","Paris-Est - Reims",,2,,,
OCE141,OCESN,"","Paris<>Reims/Ardennes",,2,,,
OCESN-87192039-87113001,OCESN,"","Metz-Ville - Paris-Est",,2,,,
OCE1209971,OCESN,"","Paris<> Metz/Luxembourg Allemagne",,2,,,
OCE143,OCESN,"","Paris<>Nancy/Vosges",,2,,,
OCESN-87141002-87113001,OCESN,"","Nancy-Ville - Paris-Est",,2,,,
OCE39,OCESN,"","BRETAGNE",,2,,,
OCESN-87391003-87473009,OCESN,"","Paris-Montparnasse 1-2 - St-Brieuc",,2,,,
OCESN-87474007-87391003,OCESN,"","Brest - Paris-Montparnasse 1-2",,2,,,
OCESN-87391003-87471003,OCESN,"","Paris-Montparnasse 1-2 - Rennes",,2,,,
OCESN-87581009-87391003,OCESN,"","Bordeaux-St-Jean - Paris-Montparnasse 1-2",,2,,,
OCESN-87391003-87481705,OCESN,"","Paris-Montparnasse 1-2 - St-Nazaire",,2,,,
OCESN-87391003-87571000,OCESN,"","Paris-Montparnasse 1-2 - Tours",,2,,,
OCESN-87486449-87391003,OCESN,"","Les Sables-d'Olonne - Paris-Montparnasse 1-2",,2,,,
OCESN-87223263-87471003,OCESN,"","Lille Europe - Rennes",,2,,,
OCESN-87286005-87722025,OCESN,"","Lille Flandres - Lyon-Perrache",,2,,,
OCESN-87271007-87317057,OCESN,"","Paris Gare du Nord - Rang du Fl. Verton Ber.",,2,,,
OCESN-87271007-87286542,OCESN,"","Paris Gare du Nord - Tourcoing",,2,,,
OCESN-87223263-87271007,OCESN,"","Lille Europe - Paris Gare du Nord",,2,,,
OCESN-87396002-87391003,OCESN,"","Le Mans - Paris-Montparnasse 1-2",,2,,,
OCE849853,OCESN,"","Ligne 32 Tram",,0,,,
OCESN-87271007-87343004,OCESN,"","Paris Gare du Nord - Valenciennes",,2,,,
OCESN-87582668-87391003,OCESN,"","Arcachon - Paris-Montparnasse 1-2",,2,,,
OCESN-87677005-87391003,OCESN,"","Hendaye - Paris-Montparnasse 1-2",,2,,,
OCESN-87686006-87755009,OCESN,"","Paris-Gare-de-Lyon - Toulon",,2,,,
OCESN-87741793-87686006,OCESN,"","Bourg-St-Maurice - Paris-Gare-de-Lyon",,2,,,
OCESN-82001000-87113001,OCESN,"","Luxembourg - Paris-Est",,2,,,
OCE156,OCESN,"","Paris - Nice",,2,,,
OCESN-87745679-87686006,OCESN,"","Evian-les-Bains - Paris-Gare-de-Lyon",,2,,,
OCE1522070,OCESN,"","RENNES / NANTES / TOURS <-> LYON TGV",,2,,,
OCESN-87751008-87192039,OCESN,"","Marseille-St-Charles - Metz-Ville",,2,,,
